genes,logFC,logCPM,F,PValue,FDR
YOR290C,-7.51059064181802,6.55608056035595,2606.1765222601,1.04105984706994e-18,6.35254718682077e-15
YGR234W,-4.19436697141898,8.51445237848935,2253.98455537182,3.18934293991443e-18,9.73068530967893e-15
YDR033W,-3.7180226402052,8.94025200656972,1799.69365538748,1.80543721394533e-17,3.48154726240013e-14
YML123C,-4.74104821900694,9.2375778432463,1745.70647193344,2.28223353811874e-17,3.48154726240013e-14
YAR009C,-2.50068490803316,7.25533107261611,1609.60220631348,4.26072185042552e-17,5.1997849462593e-14
YPL257W-B,-2.49854947841387,7.40449168957039,1542.60733592033,5.90748574934498e-17,6.00791300708384e-14
YAR071W,-4.2894735577728,7.60233931030713,1500.45782619624,7.30894665757213e-17,6.37131321492931e-14
YHR215W,-4.47439315371494,7.24213258774023,1376.79019070056,1.41495321119018e-16,1.07925556183531e-13
YER081W,3.17956129294134,9.1106375275795,1346.8310988733,1.67524783720215e-16,1.13581803362306e-13
YML039W,-2.53763723886684,7.64988962689758,1282.18276788168,2.44337485540625e-16,1.37634684988628e-13
YDR261C-D,-2.5946339289854,7.61084560507683,1279.62256232903,2.48112345931646e-16,1.37634684988628e-13
YML045W,-2.3702504904827,7.68731516925496,1237.38774849999,3.20944679892332e-16,1.63200369725251e-13
YER138C,-2.4929271650854,7.60977639291082,1204.76083162223,3.93908890722903e-16,1.68718910686255e-13
YPL019C,-2.52810246705518,7.95802101322041,1200.36352093899,4.05105220849717e-16,1.68718910686255e-13
YBL005W-B,-2.29633754462715,7.43599084217267,1196.6854703867,4.14746584774472e-16,1.68718910686255e-13
YIL121W,-2.85055907624911,6.73283651294767,1177.19631172701,4.70362454866595e-16,1.79384481224748e-13
YLR157C-B,-2.48791000574833,7.91974311545543,1145.94777605537,5.78029993928237e-16,2.07478766055888e-13
YJR029W,-2.36706395646275,7.71188035526252,1087.87045771395,8.60834029719099e-16,2.83147497701038e-13
YLR227W-B,-2.39363170739564,7.50613058036499,1078.26650438382,9.21293425853457e-16,2.83147497701038e-13
YJR027W,-2.43053191980305,7.88106833192253,1077.2379045177,9.28048173389178e-16,2.83147497701038e-13
YNL284C-B,-2.21320538397016,7.98355783960159,1067.50686421365,9.94793801691232e-16,2.89058656091424e-13
YGR038C-B,-2.34038104075832,7.62993798866234,1047.46502213924,1.15005660508187e-15,3.18983882009526e-13
YPR137C-B,-2.30599087929706,7.41626771688743,1020.15944046592,1.40758124706638e-15,3.73437424765177e-13
YHR214C-B,-2.28955532489922,7.5728714820699,987.533288541456,1.8047419653991e-15,4.5885564470272e-13
YOL103W-B,-2.5162704069237,7.84721115488357,978.140516833664,1.94152328899745e-15,4.73887004378497e-13
YDR098C-B,-2.14538497832881,7.38827186677901,970.347736952503,2.06392645897272e-15,4.8438766356352e-13
YPR158W-B,-2.37284672239119,7.49278313913091,934.394656073677,2.75409250442327e-15,6.13667380260676e-13
YPR158C-D,-2.52067738788659,7.83390287868766,931.683146809496,2.81591062722041e-15,6.13667380260676e-13
YNL054W-B,-2.04493097792282,7.25590372249362,896.794153799564,3.76865735779644e-15,7.73037791498199e-13
YOR153W,-2.77104646927237,9.76597851498676,895.803783032542,3.80057911257718e-15,7.73037791498199e-13
YGR027W-B,-2.45251827389576,7.77754049147446,870.755606782486,4.71895588934644e-15,9.28873188283612e-13
YBR012W-B,-2.07480601683631,7.15917652358431,852.793068123543,5.53228334299589e-15,1.05493727996753e-12
YDR210C-D,-2.09058079903363,7.429239456408,849.291794183736,5.70862852090694e-15,1.05557731013861e-12
YDR316W-B,-2.32779121377926,7.49481080133554,821.324812436575,7.36898247593031e-15,1.32251561965079e-12
YMR045C,-2.31087495035009,7.5338491157385,789.500775673806,9.95815713452931e-15,1.73273604229759e-12
YOR142W-B,-2.22993929340248,7.28897639029489,786.788474773825,1.02226315179799e-14,1.73273604229759e-12
YDR365W-B,-2.38775771888892,7.49378317534879,782.017050267966,1.07073638646365e-14,1.76584687302734e-12
YGR161C-D,-2.15212658484646,7.55215847915384,772.181321361791,1.17907191635065e-14,1.89334127199255e-12
YFR055W,-2.32000527301397,6.9769010418471,696.390812472441,2.58706324631148e-14,4.04775895615196e-12
YER160C,-2.32210346313303,7.38649919270557,692.099875785358,2.71145340504471e-14,4.1363221693957e-12
YHL047C,-1.89323755571078,7.63272878690378,674.002339413559,3.31593319501955e-14,4.93507911122178e-12
YOR273C,-2.2370158758326,7.92648119120931,665.252545325981,3.66176851543002e-14,5.3200265431319e-12
YMR050C,-2.40121679908955,7.85232914281862,660.470357315835,3.86788857066635e-14,5.48880373446652e-12
YDR077W,-3.47759127389899,11.5776820916008,596.794959771339,8.34202107058843e-14,1.15688664938024e-11
