"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",14.0790344744949,0.134782472065858,1.34071973695304,0.100529938025802,0.919923616114532,0.946611066166467
"21S_rRNA",95.194373571213,0.665392437672129,1.31172175759126,0.507266448712417,NA,NA
"HRA1",2.24865618297153,-0.396146937924366,1.2230472647225,-0.323901577110554,0.746012549941494,0.821640542584102
"ICR1",152.551673603756,0.415991343151512,0.165912380019832,2.50729537543725,0.0121658999591937,0.0277775349798987
"LSR1",197.791743584109,-0.329419973635678,0.706637446736461,-0.466179616091779,0.641086938648773,0.74102738971521
"NME1",29.3543155385746,-0.104390740268327,0.390055766796829,-0.267630295856391,0.788983908645528,0.853694760286679
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.29981008995044,1.4538417784487,1.88912952380863,0.769582900550746,0.441547351431656,0.559350139014387
"Q0050",9.5207943791631,0.438347915775217,1.31526141309037,0.333278169200801,0.738924316783087,0.816722974870648
"Q0055",6.44068015155751,1.87589166212439,0.983229866947978,1.90788718404914,0.0564057990661287,0.105376520358291
"Q0060",0.496945973099166,-1.07004725647734,2.5889333904298,-0.413315869938122,0.679375204104186,NA
"Q0065",0.644236555221963,-1.56334702759505,2.3507149946767,-0.665051710281904,0.506017419468122,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.549607218193101,2.55436674015466,2.56135649485939,0.997271073074456,0.318632950677532,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.463953826930116,0.60268008816744,2.81156478705161,0.214357531771285,0.830268256644684,NA
"Q0110",0.310630890600107,-0.137393562098072,3.23554268140756,-0.0424638385664261,0.966128938377716,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.133810686141878,0.824375588848235,4.0804728567969,0.202029425946324,0.839893719896142,NA
"Q0130",3.82484523572785,1.74433872598941,1.14048313000862,1.52947350126628,0.126147103329913,0.205715392489278
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.26353138590612,2.5499111044892,1.80158952351843,1.41536741372103,0.156960798713085,0.245407853503756
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.91656792093561,-0.787992679047722,1.42545032300241,-0.552802624077407,0.580398571465708,0.689459707812813
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",1.98359363965513,0.393938240019167,1.34294385224239,0.293339322683809,0.76926279976231,0.839743990479167
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",81.1720392376244,0.13252605544188,0.816528759993772,0.162304210133261,0.871066299433729,0.913964991506896
"RDN5-2",3.00276017010854,-0.796864910554684,1.0486505986213,-0.759895537753329,0.447317029119768,0.564914231155488
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",40.2183202025192,0.161720901340323,1.19156018515783,0.135721974730888,0.89204107514092,0.928843785318109
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",15.1663173596731,0.655521945945017,0.478915790977103,1.36876243860658,0.171073545633243,0.263146883836227
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",51.5594136760715,-1.07231807669819,0.810214782700744,-1.32349853346758,0.185669643669782,0.282425505146387
"RUF20",138.018951048888,-0.097508757532117,0.190740811770972,-0.511210771448317,0.609203477031368,0.712837592061312
"RUF21",52.5210515877417,-0.187905284070606,0.330192509651814,-0.569077972933884,0.569303225955518,0.678367127060125
"RUF22",0.506963345246465,-1.0573598173084,2.57443188857475,-0.410715786267616,0.681280950075001,NA
"RUF23",8.9077516744997,0.849932523220613,0.63900007022716,1.33009769923573,0.183486083503328,0.279618132826019
"RUF5-1",355.886214868634,-0.384500538324676,0.121948107088905,-3.15298488433575,0.00161610174965974,0.00459470299191592
"RUF5-2",227.305114918773,-0.213637348679816,0.148291747907804,-1.44065567837691,0.149681982148106,0.235825490241506
"SCR1",472.69749280349,0.311689217560213,1.25315467952717,0.248723659299439,0.803574546368017,0.864293750740359
"SRG1",210.259546350904,-1.53284347542202,0.177111688862443,-8.65467144075701,4.94333610256618e-18,6.70210155062795e-17
"TLC1",1623.00213114995,0.162001360333485,0.0941822453931716,1.72008386142417,0.0854171988590225,0.149548468226496
"YAL001C",626.86513004484,0.278356263047449,0.123284666277298,2.25783360942354,0.023956034988068,0.0501593814906516
"YAL002W",519.814894600061,-0.235097215255384,0.1071591883858,-2.19390626969827,0.0282421485756787,0.0575901115455574
"YAL003W",8556.57195853115,-0.738638554736271,0.0852049600061236,-8.66896193230049,4.36077715844185e-18,5.94915170762898e-17
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11270.036571639,-0.329046963811966,0.0705524204660443,-4.66386499057578,3.10325018015649e-06,1.41906116252173e-05
"YAL007C",1191.27693381349,0.33910314532751,0.0869958771403398,3.89792202198819,9.70216452880186e-05,0.000349043879594286
"YAL008W",425.850425392991,0.566364232117541,0.118297977992039,4.78760703885959,1.68781721547953e-06,7.99094990474509e-06
"YAL009W",380.948647140137,0.145345947363321,0.113900624182185,1.27607682931429,0.20192836146892,0.303215997244635
"YAL010C",381.632890059559,-0.00729490032013019,0.119064556121484,-0.0612684459402601,0.951145420066912,0.967511431790277
"YAL011W",453.334274703252,0.253103383943795,0.11517773141598,2.19750277099726,0.0279845587937804,0.057189247837056
"YAL012W",6372.99964451938,0.505237229107912,0.0794831768132427,6.35653039252622,2.06361627917459e-10,1.57458721208647e-09
"YAL013W",1268.03696125373,0.356638473247124,0.0923731101880911,3.86084730200091,0.000112994505597241,0.000401663025855415
"YAL014C",1138.02762387141,0.477832319161586,0.0990055384235479,4.82631908042769,1.3907961970811e-06,6.6664752704501e-06
"YAL015C",477.096589544044,0.656772363965504,0.111216697820801,5.90533954733792,3.51921158355793e-09,2.34924378548394e-08
"YAL016C-A",17.2806393514474,-0.534402623677778,0.460931458775805,-1.15939715873832,0.246294334391389,0.354426189095679
"YAL016C-B",58.8438428503868,0.692324511100693,0.25801259988807,2.68329729401214,0.00729001536220211,0.0177634908305868
"YAL016W",1778.26190937761,-0.00864682189989771,0.0824306817337421,-0.10489810005245,0.916456666590498,0.944803806720989
"YAL017W",1233.43073043279,0.00529365182982459,0.109198478480539,0.0484773405589897,0.961335822819995,0.974553633453546
"YAL018C",2.3566719548101,-1.48382620344763,1.22851643660201,-1.20781957753189,0.22711666928016,0.33290078606336
"YAL019W",770.172693872264,-0.739597194926604,0.131870893115652,-5.60849462267591,2.04094038997879e-08,1.2551687759176e-07
"YAL019W-A",1.41348386180045,1.62589676144996,1.74845558543329,0.929904525454125,0.352420519690387,0.470419741702262
"YAL020C",478.864055713316,0.335601731249354,0.120757724401128,2.7791326220637,0.00545042673042298,0.0136823642712455
"YAL021C",1114.8551459528,-0.199179067533846,0.0880224143226691,-2.2628221353223,0.0236466558227965,0.0495745285157998
"YAL022C",1132.91901490251,0.240223784433887,0.116265232897108,2.06617041438759,0.038812391361551,0.0758900214882294
"YAL023C",4051.33966756756,-0.00587763046862734,0.0832075289352313,-0.0706382047855608,0.943685703321446,0.963319260653149
"YAL024C",286.295792535134,0.076586825425105,0.131184102383665,0.583811788421715,0.559346946204603,0.669791753780551
"YAL025C",878.084244961551,-1.79383731311862,0.112711491130326,-15.9153010498676,4.96277225542415e-57,3.32303178980544e-55
"YAL026C",956.032840214988,-0.161444808044147,0.102780874806047,-1.57076701622555,0.116236776160519,0.192197966367923
"YAL026C-A",29.7761089979185,0.348330583479463,0.398530302545931,0.874037886841283,0.382097621425762,0.499778587629684
"YAL027W",235.749240079439,-0.00300775846618358,0.135704295307381,-0.0221640623782082,0.982317084611518,0.988493284652781
"YAL028W",453.796934210383,0.195286503014426,0.117690203868495,1.65932674594256,0.0970499685969337,0.1656285809969
"YAL029C",1426.28247839684,-0.168497801796283,0.09738601590191,-1.73020530962062,0.0835936000470065,0.146943799493291
"YAL030W",706.770708280438,0.692139544697379,0.121764674546531,5.68423926951726,1.31396211998268e-08,8.31457997234939e-08
"YAL031C",502.722828701634,0.335172765705707,0.104784911339691,3.19867394475475,0.00138061217344745,0.00397524224754812
"YAL031W-A",10.8853955932567,0.975137361009313,0.638108592316253,1.52816835998037,0.126470742299228,0.205981884082286
"YAL032C",587.065531616522,0.383571470009082,0.102210205681009,3.75277074782711,0.000174890781221543,0.000603065321269452
"YAL033W",247.095249166506,-0.188875074637353,0.143873881062066,-1.3127822315148,0.189256339048532,0.287011808836715
"YAL034C",581.894634289614,0.1057874547783,0.103735319342744,1.01978241787425,0.307831663544734,0.423116152616961
"YAL034C-B",42.9963057942079,-0.530957818196663,0.295371568543648,-1.79759284488548,0.0722415530460959,0.129769797724742
"YAL034W-A",148.697374340097,0.302654348334494,0.162677950042072,1.8604509600485,0.0628217505318373,0.115278614930066
"YAL035W",4713.72389841496,-0.53755789503212,0.0796640750628227,-6.74780815076562,1.50095224762031e-11,1.27251274533391e-10
"YAL036C",647.552381967751,-0.82382365271868,0.103119127493155,-7.98904793655634,1.35984815171498e-15,1.59345063777745e-14
"YAL037C-A",39.6243026861951,-1.40062236077777,0.752719691929002,-1.86074892924401,0.0627796406393155,0.115233566958095
"YAL037C-B",237.101082127593,-0.920421253333956,0.17729404854544,-5.19149548947243,2.08611642311246e-07,1.13602456169825e-06
"YAL037W",79.5829263973339,0.196893847635174,0.219246147980565,0.898049290483438,0.369159271899209,0.486332692672678
"YAL038W",19634.5985892985,-0.99735492979682,0.0925850411861751,-10.7723117797321,4.65172070569821e-27,1.07480955178844e-25
"YAL039C",1909.72537718151,0.215187958201561,0.0956696078824276,2.24928232658814,0.024494539516687,0.0510366891888097
"YAL040C",982.660121993227,-0.335843999495116,0.109928462548739,-3.05511413248605,0.00224974890738325,0.00615375253449307
"YAL041W",741.838729799086,-0.120442649559127,0.0924002925804753,-1.30348775090975,0.192408295546124,0.291119030521943
"YAL042C-A",0,NA,NA,NA,NA,NA
"YAL042W",3814.1169299011,0.220612228049475,0.0813375546241644,2.71230465519716,0.00668171510937989,0.0163969388735044
"YAL043C",923.804042201611,0.0890667279774134,0.0873496351878435,1.01965769846522,0.307890830348368,0.423116152616961
"YAL044C",1034.73945533455,-0.560907145201839,0.110955507228672,-5.05524384693991,4.29841201436147e-07,2.23681043919429e-06
"YAL044W-A",55.989648354203,1.0203020863494,0.263309665690375,3.87491315092537,0.000106662733922136,0.000381012988566717
"YAL045C",4.45905570997645,0.888757653844677,0.879890436830374,1.01007763767299,0.312458095121289,0.427780100184832
"YAL046C",285.112880971265,0.212352438324071,0.137462280696253,1.54480514398929,0.122393402690743,0.200585791322841
"YAL047C",206.13681145675,0.0910626843876602,0.143454199087857,0.63478577111493,0.525568144602614,0.638780915888563
"YAL047W-A",0.745055095194792,0.368761714684931,2.11312459436583,0.174510161714151,0.861464545407416,NA
"YAL048C",159.918252225207,-0.279384058605366,0.159288134770348,-1.75395398413174,0.0794383922648797,0.141050520541871
"YAL049C",779.691820602322,0.485768151226729,0.0928751888701313,5.23033284923905,1.69205107785826e-07,9.30699008625811e-07
"YAL051W",547.942850230465,-0.0281984774638183,0.105816300163366,-0.266485195761745,0.789865559400253,0.854450676027771
"YAL053W",3892.52708549657,0.571085981714161,0.0772951382088654,7.38838166212969,1.48626615506107e-13,1.50973351540414e-12
"YAL054C",322.766227010831,0.663540365647697,0.142175021019059,4.66706711834244,3.05529547893557e-06,1.39908227025647e-05
"YAL055W",381.542610546251,0.583429727357643,0.138005421071118,4.22758557475062,2.36212348497691e-05,9.52689262963642e-05
"YAL056C-A",3.18771465373626,0.478619434043646,1.13520477941252,0.421615062518795,0.673306010174181,0.766522213525845
"YAL056W",1343.26076932299,0.153300815278599,0.0913623944161159,1.67794218024082,0.0933583870765959,0.160455143005925
"YAL058W",272.749289926343,0.0314676171469063,0.129223763605477,0.243512619265429,0.8076083105237,0.866927160748654
"YAL059C-A",0,NA,NA,NA,NA,NA
"YAL059W",143.778330216681,-1.32133552205565,0.193144746312738,-6.8411672969668,7.85504561698227e-12,6.81809647336477e-11
"YAL060W",1381.11703950962,-0.0531484510483164,0.101078081175841,-0.525815789437637,0.599016202915033,0.703896202856127
"YAL061W",1236.66209110901,-1.83122161088674,0.116066687221098,-15.7773229746654,4.45693965590197e-56,2.89568693287413e-54
"YAL062W",513.93439604028,0.417839886609429,0.113042852661282,3.69629637586582,0.000218767569990396,0.000744967718877519
"YAL063C",331.089486571399,0.00415626889208987,0.1323038081488,0.031414582469277,0.974938911762528,0.983330639253875
"YAL063C-A",6.85375364982967,0.835481090122455,0.723137855634952,1.15535521147466,0.24794499509361,0.356410746506959
"YAL064C-A",42.4732269192253,-0.110194516046363,0.300312875708006,-0.366932372734843,0.713669463213909,0.797530486650149
"YAL064W",8.04199689751933,1.04968211892923,0.703842176975291,1.49136007086156,0.135866985389649,0.217878582142442
"YAL064W-B",25.3902450212348,-0.466438711231184,0.373522085113305,-1.24875805158802,0.211753581037971,0.315514759030692
"YAL065C",34.7023838238658,0.218741732616348,0.312556313584811,0.699847429436084,0.484022591051359,0.599614166977349
"YAL066W",0.196332454646359,-1.09917776279425,4.0804728567969,-0.269375094840623,0.787641049495817,NA
"YAL067C",37.0351780762146,1.39104737380887,0.337168292586151,4.12567671514795,3.69646218183542e-05,0.000144039102358694
"YAL067W-A",1.09302523344224,-0.589229984425512,1.80634045204187,-0.326200957166991,0.744272317253318,0.820136850682833
"YAL068C",12.092817194308,0.611218077117085,0.557707965171452,1.09594647250409,0.273102199980522,0.38506588660769
"YAL068W-A",0.166802832310928,-1.09917776279425,4.0804728567969,-0.269375094840623,0.787641049495817,NA
"YAL069W",0,NA,NA,NA,NA,NA
"YAR002C-A",1641.72858410571,0.313488319427378,0.080373667696457,3.90038589020614,9.60394849494755e-05,0.000345889736684115
"YAR002W",872.53346292322,-0.377994773836457,0.102323107590095,-3.69412914383619,0.000220641651210825,0.000750959810811948
"YAR003W",539.95300479786,0.12295699619746,0.111531614332757,1.10244074680579,0.270270105237979,0.382057826491085
"YAR007C",744.465245500234,0.647191964974326,0.0971355517976001,6.66277128195936,2.6871168088475e-11,2.23200765818446e-10
"YAR008W",278.795951098417,0.578214208250988,0.141559270498322,4.08460856159782,4.41511811191748e-05,0.000168736197148529
"YAR009C",1372.49512553418,-2.47450186367572,0.0993683764013505,-24.9023074874562,7.0240550228021e-137,1.44037028311336e-134
"YAR010C",611.325756750418,-0.408309686098357,0.11143959893891,-3.66395509303822,0.000248350346127943,0.000837879162617771
"YAR014C",1041.37431578852,-0.274829633510372,0.0998682812650276,-2.75192113080466,0.00592467877862345,0.0147431710827937
"YAR015W",1641.27104153818,-0.499358633057406,0.0970356698063048,-5.14613475698357,2.65908437482297e-07,1.42673030806119e-06
"YAR018C",341.416290536341,0.191476751753353,0.128010058003398,1.49579458629939,0.134707192566171,0.21644187013203
"YAR019C",358.119305535994,0.131336221635567,0.124772826329637,1.05260276214783,0.292523090715289,0.407371927265222
"YAR019W-A",5.56469953381875,-0.337197917355527,0.765186042630469,-0.440674422387981,0.659448716081498,0.755201130004675
"YAR020C",43.5954562516143,0.04970820532804,0.294361866817048,0.168867679314368,0.865900722221791,0.911313639008724
"YAR023C",94.6828725757404,0.35465506122535,0.214471407426981,1.65362397477667,0.0982039383149777,0.167293417243739
"YAR027W",883.460200165839,0.448522194365832,0.101063746969618,4.43801271786082,9.0793255819657e-06,3.88640146567899e-05
"YAR028W",360.53100224366,0.23126413384716,0.133523145051786,1.73201532781051,0.0832708333938752,0.146454893790032
"YAR029W",29.3543417794592,-0.507307483225733,0.354315772352547,-1.4317948079403,0.152202553625891,0.239165027991642
"YAR030C",35.8751366571808,-0.353083691713384,0.314385116581518,-1.12309289813926,0.26139804202282,0.372161846768007
"YAR031W",202.446265296328,0.0483545611478239,0.142170873918154,0.340115804420396,0.733769320309417,0.812423650902289
"YAR033W",275.432134092169,0.064423135887225,0.134625966357195,0.478534250341388,0.632270002749903,0.73328641933071
"YAR035C-A",2.91369532689774,1.297671326466,1.16048654973845,1.11821315529978,0.263475967064548,0.374533183697278
"YAR035W",276.653158030894,1.20300287847937,0.138905521982843,8.66058354849248,4.6935528597297e-18,6.37662398872594e-17
"YAR042W",1440.7741543566,0.285664207668604,0.115087276329983,2.48215282156419,0.0130591255107354,0.0295496488280847
"YAR047C",9.2626736943097,-0.270912026326968,0.597710426249131,-0.453249624616803,0.6503690025099,0.748854429631508
"YAR050W",282.040887214234,-0.192759110364302,0.1528532585011,-1.26107295490148,0.207282563589444,0.310049733821275
"YAR053W",12.3327260152209,1.44771783498854,0.549114523663748,2.63645883071753,0.00837763654347727,0.0200928548970387
"YAR060C",5.39681428361426,0.511632175216434,0.795413540954485,0.643227892000032,0.520076237395729,0.634220455266823
"YAR061W",3.93579372624078,0.575256462602524,0.936981959556005,0.613946145638827,0.539250915278626,0.651132498885852
"YAR062W",11.4590849438219,0.110860542519313,0.575378179116664,0.192674221134888,0.847214113696187,0.898129081433664
"YAR064W",18.387132081691,-0.564823203182312,0.438848551975622,-1.28705723338854,0.198074340221569,0.298384715457745
"YAR066W",58.3137039278078,-0.0764050510066192,0.249631674293814,-0.306071139500876,0.759550481450735,0.831942957649761
