"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",21.917445072544,0.299469550916135,0.543526362182235,0.550975208845028,0.581650669271953,0.652340677201415
"21S_rRNA",132.176431530275,0.110099791364209,0.455604588218886,0.241656458717035,0.809046370571032,0.853489918317607
"HRA1",2.50940929946006,-0.63366568390674,0.357115763096626,-1.77439852671888,0.0759972533914025,0.106825008600673
"ICR1",138.83063956399,0.257430984993342,0.0522045940468668,4.9311940777134,8.17284838885938e-07,2.08800938957295e-06
"LSR1",220.011776877633,-0.0686324876657314,0.277928586519303,-0.246942887470716,0.80495242451275,0.850084165672067
"NME1",28.037541714576,0.160202907582253,0.210882318530736,0.759679183624414,0.447446374576051,0.522185337839137
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",2.07538865411644,0.600297118431364,0.572387637659924,1.0487597546403,0.294288704570216,0.363172651933268
"Q0050",12.3879384197433,0.193919650469793,0.525666731214182,0.368902270116806,0.712200571205415,0.771056651973201
"Q0055",8.52250188718294,0.465690076950414,0.615173433031115,0.757006157850219,0.449046173257533,0.523785619468195
"Q0060",0.310101239278387,0.00983120740951687,0.987468042670069,0.00995597526673747,0.992056412277132,0.994179833101017
"Q0065",0.318503556962976,-0.264455447165554,0.850232054752819,-0.311039140064458,0.755770866884538,0.808830122950063
"Q0070",0.064612089090747,-0.264854857558924,2.69520696977066,-0.0982688381744058,0.921718821923317,0.939622909359846
"Q0075",0.160225810396358,-0.409119427712742,1.33762972520599,-0.305854019242686,0.759715796572409,0.812419676689269
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.809611367782516,0.619037309433111,0.82619444467404,0.749263461432908,0.453698425924552,0.527880629552314
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.950976150368095,0.6211045957386,0.716269530222587,0.867138094713573,0.385866350115643,0.460640937149687
"Q0110",0.113237409838834,-0.264850872282125,1.54830141743831,-0.171058987157891,0.864177383993685,0.898551045819205
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.300005371989775,0.667275649224724,0.910627885682964,0.732764348331231,0.463702169269545,0.537234987146634
