"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",11.3672292857576,-0.370960183205691,0.459202457610744,-0.807835796732921,0.419185115056646,0.516909713846772
"21S_rRNA",69.2009210755978,-0.06142629865285,0.426377524765529,-0.144065517258747,0.885448733860709,0.920968551371016
"HRA1",2.99719403681568,-0.804561514972186,0.425636450251512,-1.89025520369969,0.0587238368118071,0.0956140954345797
"ICR1",149.967480848464,0.252170977609926,0.0680418875638488,3.70611378723576,0.000210463773032938,0.0005570479909512
"LSR1",180.215339166601,-0.166530890020646,0.196330972039,-0.848215074224586,0.39631820367699,0.494569992274718
"NME1",24.2023987137286,0.0792352201462129,0.197011357145622,0.402186053099698,0.687547105652194,0.763826723929928
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.50843876767856,1.34233149142147,0.741527386864115,1.81022510456172,0.0702608860125192,0.111724727561217
"Q0050",7.41638316967575,0.00083340606126152,0.443092116490037,0.00188088668302962,0.998499270439855,0.998935423295318
"Q0055",4.2531092741365,0.438131229133328,0.461889238579788,0.94856340554824,0.342842710365789,0.44023028647418
"Q0060",0.167720016849463,-0.224951735378864,1.75165729425196,-0.128422229689015,0.897814840064603,0.930054260443302
"Q0065",0.12388418292858,-0.465400964373393,2.1893189268896,-0.212577965986251,0.831656159228518,0.881210804674741
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0.0252619925966998,-0.465403992326775,3.00317535619469,-0.154970635120183,0.876844467375852,0.914510979863309
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.25711602931855,-0.231594605683199,1.4465281468276,-0.160103767210553,0.872799333653432,0.913342098923657
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.263368779599453,0.472779867919927,1.30132951347687,0.363305268207404,0.716376858367965,0.786800734310468
"Q0110",0.0568622261871485,-0.465403992326774,3.00317535619469,-0.154970635120183,0.876844467375852,0.914510979863309
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.209490839162831,0.256799886562845,1.50589217252613,0.170530062675114,0.864593294005106,0.907412679736732
"Q0130",3.17962770506817,0.236155100706574,0.521430926750453,0.452898147369753,0.650622085041737,0.732136316135239
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.05213605128429,-0.862459894263531,0.783856649564277,-1.10027757593553,0.271211199312422,0.362108521502935
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.24068387411696,0.114815100771352,0.685313441543928,0.167536624573841,0.866947832505712,0.909117677857669
"Q0255",0.070926443884826,-0.224956987495787,3.00317535619469,-0.0749063776884572,0.940289202154539,0.960274540428632
"Q0275",1.17480295167206,-0.72482097921924,0.804524904352502,-0.900930443915333,0.367625303224803,0.465594493430464
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",68.9396845814354,0.286666058784066,0.31834430121179,0.900490625064941,0.367859212154634,0.465652293057201
"RDN5-2",3.79801618729116,0.277580337053746,0.358975277210084,0.773257532415797,0.43936998345063,0.536599921132115
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",31.7106059001437,0.545224549744748,0.482247236725362,1.13059134034033,0.258227133995038,0.347149019307358
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",16.2219692935867,0.362428813836873,0.181994367551243,1.99142873877581,0.0464337723550615,0.0776646664682637
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",54.5388346724707,-1.36717990678026,0.258709700556616,-5.28461013962276,1.25972740954609e-07,5.25536553187079e-07
"RUF20",132.211135503444,0.0933647329303839,0.150184615662128,0.621666423812859,0.534161234030859,0.626638524675779
"RUF21",35.0435290679849,0.146913087418838,0.462929634643658,0.317355114955915,0.750974161265925,0.817222594561003
"RUF22",0.236115697806598,-1.16101650118336,1.29873975948186,-0.893956231575259,0.371345309577215,0.469719002596657
"RUF23",8.13885377922606,0.171377331904332,0.237114102363535,0.722763134693619,0.469825419902599,0.56674340943658
"RUF5-1",318.646327868539,-0.192980740099445,0.128266992371601,-1.50452377912131,0.13244655533075,0.196213946027939
"RUF5-2",206.605248128821,-0.198751108967176,0.133189531305942,-1.49224272372155,0.135635525876525,0.200075504142895
"SCR1",320.871769397368,-0.109903560210819,0.376630645042389,-0.291807269688449,0.770433986633084,0.833514709834029
"SRG1",213.357937377202,-1.35532382651715,0.143968175451957,-9.41405155870316,4.77372586801035e-21,6.43142557629394e-20
