genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.87473061236136,6.70893132844751,7509.28892597783,8.47848013470998e-50,5.18119921032127e-46
YML123C,-4.6269120137113,9.17779003416466,5711.11234433655,2.89187370502185e-47,8.83612010569425e-44
YDR033W,-3.78678904736013,8.96601751623997,5084.30025376779,3.43141396060716e-46,5.42747268601784e-43
YHR215W,-4.45623192234908,7.27547268838268,5076.01033769837,3.55259216888747e-46,5.42747268601784e-43
YGR234W,-4.26212654905168,8.5428641319299,4543.67458607728,3.74418769299824e-45,4.57614619838245e-42
YAR071W,-4.289825926356,7.64126673077481,4489.52821960855,4.83031170806331e-45,4.91967247466249e-42
YOR290C,-7.55515010343161,6.58532810556136,3987.79011384236,5.98120818133373e-44,5.22159474230435e-41
YOR153W,-2.84671443213754,9.82755874917372,3123.61090222311,1.05832764236401e-41,8.08430027810808e-39
YDR406W,-2.00957439151499,7.42547132079086,3060.22472896166,1.63300690161439e-41,1.10881168619617e-38
YJL012C,-1.41985448138443,8.16298456894736,3006.37083708085,2.37726536544306e-41,1.45274686482225e-38
YER081W,3.17338093569817,9.12472385396961,2714.25233473356,2.06166913713323e-40,1.14535091791102e-37
YDR365W-B,-2.35348661997925,7.48865102147262,2598.57283378331,5.17036616698146e-40,2.59742852443967e-37
YCL064C,-1.34771143092873,8.49493837331448,2586.95761226916,5.68299200061252e-40,2.59742852443967e-37
YPL257W-B,-2.46440292740898,7.38265375437969,2577.05513884406,6.162008972314e-40,2.59742852443967e-37
YJR027W,-2.39335694900293,7.85964975673222,2572.8962144709,6.37562229857552e-40,2.59742852443967e-37
YER138C,-2.49398795925066,7.58271604430654,2515.79822671966,1.0236002227279e-39,3.90951310068138e-37
YAR009C,-2.47498001537899,7.2422524492263,2477.97747624156,1.40884876593258e-39,5.06439694624354e-37
YML039W,-2.48580716803129,7.62091855362813,2418.24449283464,2.35654409628891e-39,8.00046720690086e-37
YGR038C-B,-2.27009973982438,7.60415536763936,2406.97557544845,2.60034401249918e-39,8.36352750546447e-37
YML045W,-2.32932012308106,7.65199797346839,2345.88747566649,4.46975517022895e-39,1.30254281134568e-36
YDR098C-B,-2.1513812409392,7.37079439804733,2345.65304923516,4.47917536896246e-39,1.30254281134568e-36
YER001W,-2.40742074135537,6.32986135804593,2340.55545171607,4.68923937974226e-39,1.30254281134568e-36
YPR158C-D,-2.42404946126958,7.81700532372245,2286.36893337231,7.67987067431102e-39,2.04050824742237e-36
YDR261C-D,-2.60372319176618,7.57447589440594,2265.54128197138,9.31183237370683e-39,2.3710253181551e-36
YPR137C-B,-2.28130280826101,7.39185125234632,2214.73946187155,1.50091811970835e-38,3.66884425181508e-36
YLR157C-B,-2.47178618200102,7.90363685687775,2156.59684389925,2.62689505716476e-38,6.17421372858994e-36
YOL103W-B,-2.50865801938785,7.81256803690833,2152.64668671668,2.73017340513386e-38,6.17929247361963e-36
YPL019C,-2.53181325617317,7.9680082828859,2101.93464499724,4.50726684706776e-38,9.8371098937254e-36
YLR227W-B,-2.35679277628276,7.46844748906039,2090.55309314554,5.05225562090908e-38,1.06463221032329e-35
YPR158W-B,-2.33319835158007,7.46450314684358,2072.27862345058,6.07624708400625e-38,1.23773153101207e-35
