genes,logFC,logCPM,F,PValue,FDR
YML123C,-4.80698569746307,9.30396187931296,3573.42561511249,6.9902131259852e-19,4.24865153797381e-15
YAR071W,-4.31641142807732,7.69618723247173,2669.48284141555,5.8361002013807e-18,1.7735908511996e-14
YHR215W,-4.43073952047247,7.30783861652776,2256.63301626537,1.97908446736412e-17,4.00962513087971e-14
YDR033W,-3.89258409082118,9.00335563542712,1638.311446039,2.02140632039295e-16,3.00410443876896e-13
YPL019C,-2.32744959208442,7.84980547630275,1593.51030704649,2.47129354949733e-16,3.00410443876896e-13
YIL121W,-2.80831535860764,6.65848610735234,1496.45559076181,3.89616395126519e-16,3.94681408263164e-13
YGR234W,-4.1948563577497,8.48709720359546,1316.01484715397,9.87527266623853e-16,8.57455818077111e-13
YIL169C,-3.05479227472482,7.74067508837975,1230.53991458652,1.60487789820477e-15,1.14495146561262e-12
YER081W,2.99454464749939,9.0048099823465,1221.23508391078,1.69538716527041e-15,1.14495146561262e-12
YPL257W-B,-2.49434222498117,7.40761329324767,1172.74181366419,2.27209315006981e-15,1.38097821661243e-12
YDR077W,-3.58228771549903,11.6651293764852,1114.33834066614,3.2859057248214e-15,1.79456930229571e-12
YDR365W-B,-2.36543688561956,7.50576425609802,1095.55062715558,3.71507130951272e-15,1.79456930229571e-12
YOR290C,-7.18998874360827,6.51598406016962,1090.60783188643,3.83833513159662e-15,1.79456930229571e-12
YML045W,-2.35242126324772,7.68533846666025,1077.64153072174,4.18440204243885e-15,1.81662825813881e-12
YPR158C-D,-2.49332564808953,7.85047021361904,1041.52873581298,5.35112877756073e-15,2.06418040414711e-12
YDR261C-D,-2.62535035618617,7.58300662913785,1031.76611357972,5.72728284635608e-15,2.06418040414711e-12
YOL103W-B,-2.54640155010353,7.83417215308089,1030.61816882792,5.77345621429762e-15,2.06418040414711e-12
YOL155C,-2.30553114149094,7.96522726142059,1011.2329227444,6.62080450201202e-15,2.23562498684606e-12
YPR149W,-2.26219533518774,8.41114065111232,937.060854197622,1.14645049113893e-14,3.39475084779922e-12
YDR406W,-1.94118069216636,7.38562621948191,934.349418464163,1.17063246422504e-14,3.39475084779922e-12
YGR038C-B,-2.35003262594523,7.6264506984928,934.096790880624,1.17291490299085e-14,3.39475084779922e-12
YML039W,-2.53812582710875,7.65110203901649,906.372382067427,1.45713898630518e-14,4.02567761761948e-12
YJR027W,-2.47871722145159,7.87558571455857,888.416454863016,1.68290680691358e-14,4.44726416192205e-12
YER001W,-2.24138657532559,6.28675771016057,880.145546923468,1.80009848625902e-14,4.55874941645096e-12
YMR050C,-2.38205038165051,7.85525311292604,862.495413839578,2.08257988185257e-14,4.95485560486531e-12
YLR157C-B,-2.52289225466116,7.92708280477283,860.388470277664,2.11954994614179e-14,4.95485560486531e-12
YLR227W-B,-2.45742199580533,7.50482556519984,835.817619412317,2.61065072003517e-14,5.87686484310139e-12
YBR093C,-2.59684681822907,7.23597649783158,822.035332765198,2.94217081378048e-14,6.38661221648491e-12
YAR009C,-2.51454921182971,7.24960084735445,815.07679403578,3.12757344337657e-14,6.55496254787683e-12
YNL284C-B,-2.19800620605727,7.99185312040307,810.257461557075,3.26376754269852e-14,6.59164183173523e-12
YGR161C-D,-2.15437647449331,7.5635841697742,806.922021846588,3.36197592602488e-14,6.59164183173523e-12
YJR029W,-2.34749495043066,7.75662276846386,797.477045665216,3.65880923244762e-14,6.9494507858802e-12
YER138C,-2.45774594500062,7.60566394455756,791.094690743978,3.87626101468036e-14,7.13936801431128e-12
YNL054W-B,-2.05434957350593,7.2704274733759,752.154289671891,5.56976825670582e-14,9.95677984242882e-12
YPR137C-B,-2.31538849944993,7.41907252619503,729.615677494132,6.92872329742558e-14,1.20322229147865e-11
YER124C,-1.80322352589013,6.44977538918902,722.250856094564,7.45177924493933e-14,1.25810872918726e-11
YHR214C-B,-2.2294901195502,7.5886554774919,713.835914426938,8.10518453497724e-14,1.33144085415113e-11
YDR098C-B,-2.21436444221485,7.39454772933271,710.305722962873,8.39851105390284e-14,1.34331974172688e-11
YDR316W-B,-2.33027378238653,7.49064966458117,702.467322829243,9.09399361672722e-14,1.41726392826841e-11
YBR012W-B,-2.06265232343066,7.14565780671136,696.302180085876,9.68719118696604e-14,1.47196870085949e-11
YCL064C,-1.33416323238008,8.46690975556244,687.479235180492,1.06142498374138e-13,1.57349781736101e-11
