"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",14.0837833007127,-0.243976523936388,0.835032810235169,-0.292175973142513,0.770152081174323,0.846398523509533
"21S_rRNA",91.9337077864011,-0.190836219319583,0.747801988528788,-0.255196191300629,0.798571572609051,0.86894672980472
"HRA1",2.41236038523217,-0.656486884033461,0.730866919181238,-0.898230398454615,0.369062730257435,0.502583597791999
"ICR1",142.749399998542,0.25915043595931,0.112582896631311,2.30186328219979,0.0213428834477659,0.0492404002869104
"LSR1",183.35685171588,-0.196919577213489,0.300875442090891,-0.654488700855823,0.512797004403807,0.640278486948234
"NME1",26.1621575536222,-0.0781011675942395,0.249334700529998,-0.313238259368728,0.754099653156798,0.834079919400701
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.80447489496572,1.19129222061674,1.39592356358352,0.853407916948214,0.393433132662354,0.529080728003243
"Q0050",7.33093876593013,0.0400541063656916,0.820156166351241,0.0488371702963432,0.961049059890292,0.978093361416052
"Q0055",5.01717477375912,-0.0514869190056085,0.668358539079855,-0.07703487872915,0.938595798184374,0.9644445196766
"Q0060",0.0671279773745895,-0.766073060161773,3.11653965008542,-0.245808860522848,0.805830197768069,NA
"Q0065",0.167684946512803,-0.285178829932082,2.97112701136385,-0.0959833857123379,0.92353376791339,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0.294869609786728,-1.9221529641964,2.57167654000277,-0.747431854005376,0.454802923373797,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.743955070419914,0.984107152016351,2.04048586846523,0.482290599128998,0.629599524530705,0.73806779660468
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.431309802383218,-0.253309607663949,1.6115768597413,-0.157181214245415,0.875102033124824,0.923265623106541
"Q0110",0.0814301707728126,-0.766073060161773,3.11653965008542,-0.245808860522848,0.805830197768069,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0862547757399906,0.195711956431124,3.11653965008542,0.062797839400426,0.949927486383832,NA
"Q0130",3.42721273719978,0.621438802075365,0.806758060828649,0.770291407360793,0.441127052290196,0.576383129023532
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0.767319766029485,-1.12068668940058,1.51019001175771,-0.742083235007107,0.458036906724356,0.592284370537688
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.65506586336637,0.597629943254527,1.0174190954013,0.587398001429102,0.556936435774241,0.678958994855654
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",1.26316046299975,-0.41163189648633,1.15724292991458,-0.355700506648775,0.722064865566438,0.811036479021427
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",71.1819432732433,-0.183545598690071,0.5210263862008,-0.352276973971399,0.724630554853993,0.812864340470924
"RDN5-2",4.48313795194509,0.231536895573096,0.532478868384098,0.434828327132935,0.663687041843296,0.764549257807818
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",35.5566425400136,-0.0457176701379597,0.692255416516418,-0.0660416214119655,0.947344688670342,0.969577404619022
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",15.9616593521614,0.615089984558139,0.279084154077724,2.20395882593477,0.0275272398671424,0.0608935912212544
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",51.9461217019531,-1.51308183957144,0.317769048263761,-4.76157715120045,1.92085836095845e-06,1.20678061292769e-05
"RUF20",131.058435437194,0.182888450053063,0.191530793905391,0.954877522950191,0.339639637711201,0.472065357381711
"RUF21",38.5659802485279,0.555037950945466,0.659216160763955,0.841966541448622,0.399806681984062,0.534720860841391
"RUF22",0.131007264396481,-0.285179384134285,3.11653965008542,-0.0915051358728801,0.927091225523012,NA
"RUF23",8.47946902729381,0.643042507689007,0.38095933169507,1.68795578474952,0.0914197168590196,0.165849491740998
"RUF5-1",320.949818291303,-0.1972332792438,0.19940574306948,-0.989105309645357,0.322611620070997,0.454989424694837
"RUF5-2",216.357892226601,-0.221783508507907,0.192562116305658,-1.15175047284932,0.24942362513487,0.374151486521913
"SCR1",362.985313793161,-0.533332736173054,0.679450317794259,-0.784947364370135,0.432484430114235,0.56696572958173
"SRG1",200.38759410275,-1.13341754394908,0.141912536070364,-7.98673306343497,1.38561674985606e-15,2.89900376698857e-14
"TLC1",1527.03927902277,0.132666179941902,0.0961012877493401,1.38048285354857,0.167438025403561,0.271228600726077
"YAL001C",560.64935201914,0.377032403194461,0.099622443541271,3.78461308307767,0.000153947896613673,0.000646600421299204
"YAL002W",504.13056055016,-0.0944234648873556,0.098884590523337,-0.954885532595409,0.339635586743671,0.472065357381711
"YAL003W",9391.41803408811,-0.964587700194946,0.131669265113081,-7.32583795744993,2.37410522585452e-13,4.1959186044313e-12
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11648.4789089988,-0.706993109167532,0.167063456110353,-4.23188365443926,2.31742283700792e-05,0.000116582859725432
"YAL007C",1137.24005753343,0.226352251470254,0.0672256524721858,3.3670517599499,0.000759764268424077,0.00268698095141448
"YAL008W",455.058208802875,0.214410389543037,0.125813095762676,1.70419770885763,0.088344157111248,0.161184286650134
"YAL009W",369.597529997826,0.267976617911906,0.0713743701976504,3.75452164649331,0.000173672836368861,0.000719547667522068
"YAL010C",360.712829467698,-0.000221687890048179,0.0883207145997313,-0.00251003279415103,0.997997285689377,0.998767209611798
"YAL011W",443.279273801807,0.293793860344052,0.0837604801514865,3.50754747122636,0.000452257654851122,0.00168555072695901
"YAL012W",5958.18301248087,0.2709788324826,0.131997115577114,2.05291480270484,0.0400808411151213,0.083545291411904
"YAL013W",1353.36337873135,0.206541086038862,0.115464516411276,1.7887840564211,0.0736495995884514,0.138824224203211
"YAL014C",1225.01973246287,0.190181827682318,0.125097626631544,1.52026727287537,0.128443815783988,0.218801245921778
"YAL015C",509.799898800001,0.452174198466535,0.100337962837672,4.50651165001294,6.59020687244579e-06,3.69139527567522e-05
"YAL016C-A",24.4994378948204,-0.0964258055599225,0.278994652600387,-0.345618830544528,0.729629192411788,0.815746571705938
"YAL016C-B",47.8850390967391,0.513522071456139,0.271602357211096,1.89071286688803,0.0586626839144042,0.115265823630526
"YAL016W",1723.22024649553,-0.00187406916401991,0.0524176818483715,-0.0357526143456901,0.971479617161833,0.984526498997868
