genes,logFC,logCPM,F,PValue,FDR
YGR234W,-4.37303297243079,8.68629879018579,2346.96213262268,3.01730577053767e-13,1.18241946264987e-09
YHR215W,-4.60388360619489,7.3063997636954,2001.8086925025,6.68848102795065e-13,1.18241946264987e-09
YML123C,-4.44221460015532,9.09563928770534,1977.88340420585,7.10311966653607e-13,1.18241946264987e-09
YDR033W,-3.81102972308231,8.98820965483797,1896.49277601817,8.76451167447605e-13,1.18241946264987e-09
YOR290C,-7.37791123508059,6.78357204341833,1860.43196793729,9.64767838323976e-13,1.18241946264987e-09
YAR071W,-4.21595577129974,7.6032244659376,1365.6782839095,4.52148435787431e-12,4.61794269084230e-09
YOR153W,-2.84529775408568,9.99527960585006,1309.64160993426,5.57312942205225e-12,4.87887672833374e-09
YPR158C-D,-2.38034325408267,7.91360652354,1035.2531375013,1.7996830121108e-11,1.37855718727687e-08
YER138C,-2.46481197198856,7.71501802061231,977.874248772041,2.39065119981751e-11,1.62776783916463e-08
YPL019C,-2.6033326703833,8.19825758115108,945.348750812881,2.82907905768657e-11,1.73365964655033e-08
YGR027W-B,-2.3041218259367,7.88945278376505,896.229145692493,3.68932722655088e-11,1.77875972105101e-08
YMR045C,-2.22761880428027,7.62399807629904,892.686562285453,3.76273188746066e-11,1.77875972105101e-08
YNL284C-B,-2.11413633441395,8.10338595737005,892.174876196519,3.77347852050638e-11,1.77875972105101e-08
YML045W,-2.30548902832104,7.76328757788214,862.983043369673,4.45240618949336e-11,1.80818028852294e-08
YDR316W-B,-2.31141656192132,7.60361977322784,839.661241687612,5.10210027873447e-11,1.80818028852294e-08
YER081W,3.25826569995046,9.21438611489786,837.696208527877,5.16187142742713e-11,1.80818028852294e-08
YOL103W-B,-2.48403922530314,7.91868618753912,831.102256251056,5.36867188600058e-11,1.80818028852294e-08
YOR273C,-2.30824214739649,8.18151924115609,807.967576335274,6.17728175078537e-11,1.80818028852294e-08
YDL039C,-3.26222078576323,7.6157412434233,800.743906981107,6.45916616508991e-11,1.80818028852294e-08
YBL005W-B,-2.18614744469733,7.57200054596931,799.898002035061,6.4931745083206e-11,1.80818028852294e-08
YIL121W,-2.88442354427348,6.80666257526233,797.747427289327,6.58060655945480e-11,1.80818028852294e-08
YMR050C,-2.17117581595031,7.8707703937085,797.595977337602,6.58681682439807e-11,1.80818028852294e-08
YER160C,-2.16776529656766,7.47108967307151,792.400712918468,6.80416956533506e-11,1.80818028852294e-08
YLR157C-B,-2.44731057041319,8.02221014699445,782.459557055713,7.24454676752244e-11,1.80818028852294e-08
YIL169C,-2.65998517520884,7.61918571039269,779.616630608505,7.37671462354331e-11,1.80818028852294e-08
YML039W,-2.41970199815383,7.7254725996776,751.332270358946,8.8625478121865e-11,2.08883434588765e-08
YHR214C-B,-2.1186533986029,7.69972595027312,735.431749660428,9.85536197530332e-11,2.23680215498736e-08
YJR029W,-2.30228450450896,7.84742893567102,710.866683184148,1.16650735617531e-10,2.5206940886162e-08
YGR035C,-3.86788044221873,5.66430595426682,707.66961385404,1.19288721556576e-10,2.5206940886162e-08
YPR158W-B,-2.24137348773669,7.5649551568001,702.737980531793,1.23499649697788e-10,2.52268617782681e-08
YKL062W,-2.11612041537521,7.10411474552492,686.897233917173,1.38285192870091e-10,2.68873611421786e-08
YPL257W-B,-2.42383405719282,7.50690235198749,684.794217014197,1.40403974632786e-10,2.68873611421786e-08
