genes,logFC,logCPM,F,PValue,FDR
YHR215W,-4.56088828974613,7.25915283370182,3380.21712582321,2.87389211816077e-29,1.18620888400824e-25
YDR033W,-3.76073807857934,8.92735159142453,3301.76880988308,3.90200290792186e-29,1.18620888400824e-25
YML123C,-4.69427076528232,9.169239566216,3048.02842901387,1.10508697589631e-28,2.23964293781652e-25
YOR290C,-7.68554905505966,6.5579279423355,2869.88603145465,2.4193409326377e-28,3.67739821760931e-25
YAR071W,-4.39594037391311,7.63523785470131,2800.07301389847,3.33276808365418e-28,4.05264598972348e-25
YIL121W,-2.82425088151558,6.69236602975133,2703.76625794094,5.25355437506568e-28,5.06089398544177e-25
YGR234W,-4.21084817337072,8.46980658793425,2682.31724902017,5.82668715429152e-28,5.06089398544177e-25
YPL257W-B,-2.57740959220072,7.39579709531824,2097.94820257473,1.41574962729392e-26,1.07596971674338e-23
YER081W,3.20930101985286,9.14824810195034,1971.81508416261,3.16239402109131e-26,2.13637284980391e-23
YER138C,-2.5710803613732,7.59893334912736,1931.77513510681,4.12512083463624e-26,2.50807346745883e-23
YDR365W-B,-2.43271228064286,7.50414763989452,1885.78435095885,5.63588082613603e-26,3.1151050384461e-23
YOL103W-B,-2.61505774090605,7.82297776097112,1770.00178689055,1.27979255272082e-25,6.48428226711882e-23
YDR098C-B,-2.21944588786964,7.40222187718304,1683.04582586017,2.45518414380512e-25,1.14827073802578e-22
YML045W,-2.40619029383282,7.65676451948911,1638.98662438807,3.45935107533047e-25,1.50234675271495e-22
YGR038C-B,-2.35271232363519,7.6070459621528,1628.69117929465,3.75283179070582e-25,1.52114781916609e-22
YJR027W,-2.47030359428342,7.85874330016113,1615.11174141707,4.18159633156864e-25,1.57684718710425e-22
YPR158C-D,-2.54798475231135,7.83528487465766,1597.50457276043,4.8177356264093e-25,1.57684718710425e-22
YDR261C-D,-2.67132536497787,7.58705779860686,1594.67061314293,4.92951431348901e-25,1.57684718710425e-22
YLR227W-B,-2.49050671202296,7.49385930471482,1592.2328480057,5.0279002849074e-25,1.57684718710425e-22
YML039W,-2.57091346203262,7.63268599901811,1588.39743720051,5.18699732600081e-25,1.57684718710425e-22
YOR153W,-2.7816733659275,9.75544724909894,1539.93045153993,7.73943151527601e-25,2.09636608192391e-22
YLR157C-B,-2.52538233788216,7.91076646842692,1538.69163522728,7.82026417621619e-25,2.09636608192391e-22
YJR029W,-2.41503051345319,7.70113296855891,1537.02674603748,7.93033221780425e-25,2.09636608192391e-22
YPR158W-B,-2.42044548984102,7.48447369534972,1505.97357523648,1.03206769911795e-24,2.61457150443214e-22
YBL005W-B,-2.28094075489587,7.42528907901432,1480.62182944713,1.28484757595239e-24,3.02661169595549e-22
YPR137C-B,-2.39077798719008,7.39361505773576,1479.78313615525,1.29427473840202e-24,3.02661169595549e-22
YDR316W-B,-2.38244699166733,7.47285285434581,1436.04577396443,1.90587311183313e-24,4.2917438962761e-22
YAR009C,-2.50335370331517,7.22596744061136,1413.42623987043,2.33882210199769e-24,5.07858513576641e-22
YDR406W,-2.06825495822,7.44466797548799,1404.22949473217,2.5441585633934e-24,5.33396002256272e-22
YJL012C,-1.3915582573949,8.14740291108563,1390.27581136501,2.89365158324129e-24,5.86446720870234e-22
YGR027W-B,-2.49031813256965,7.77923453738545,1353.50553151088,4.08732321783029e-24,8.01642747238973e-22
YHR214C-B,-2.27105275182741,7.58662718691641,1313.52971853013,6.01333258899682e-24,1.1425331919094e-21
YNL284C-B,-2.25687507465041,7.97027964397932,1273.76096479471,8.93236233101842e-24,1.64572009007855e-21
YCL064C,-1.32799939124505,8.48758186404013,1260.76731948759,1.01919527312276e-23,1.82256095899599e-21
YMR050C,-2.45779997567544,7.85296568223674,1246.51684295818,1.17966693316668e-23,2.04687160169413e-21
YDR210C-D,-2.22097825107151,7.4336196509905,1241.68502984093,1.2400872479425e-23,2.04687160169413e-21
YGR161C-D,-2.18167938889695,7.54994651864585,1241.25459088965,1.24562909971518e-23,2.04687160169413e-21
YMR045C,-2.34728726614888,7.53112435125647,1232.61425272437,1.36270117658136e-23,2.18032188253017e-21
YBR012W-B,-2.11597877677072,7.12112874878514,1201.06765814164,1.90172464826546e-23,2.96473996447538e-21
YOR142W-B,-2.25199244708319,7.27727205044811,1135.06889539817,3.93018977732199e-23,5.97388846152942e-21
YOR273C,-2.27486650788777,7.912555566742,1128.40247160452,4.23886608774042e-23,6.2859282471858e-21
YER124C,-1.82288306261274,6.4526420302819,1120.61675862156,4.63276322098295e-23,6.70647628180389e-21
YPL095C,-1.94224059546456,6.23316175837947,1077.30395364553,7.68118279200751e-23,1.08608352035827e-20
YDR281C,-3.88798369442206,3.14726706991009,1043.87422896121,1.15051387518637e-22,1.58980099116662e-20
YLR035C-A,-2.20534894507964,6.83671518440218,1025.62249146152,1.44218308139186e-22,1.948549585525e-20
