"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",18.7656430070069,-0.480414925653454,0.659957348532346,-0.727948445034866,0.466645146085487,0.586971185063027
"21S_rRNA",118.036314875722,-0.139868879587906,0.730308482563972,-0.191520272497525,0.848117999343024,0.893965807204719
"HRA1",2.54033352259,-1.45433931033749,0.72886868900412,-1.99533788771282,0.0460060402871228,0.0958671075786802
"ICR1",135.909162172771,0.164847746258868,0.120106503328191,1.37251307540293,0.169903771279893,0.272648537547671
"LSR1",206.285066314956,-0.508583837806667,0.459664375685901,-1.10642430588137,0.268542909988421,0.386994035024016
"NME1",28.3207325269445,-0.353602082359536,0.394363726788532,-0.896639468439617,0.369911330260396,0.494121032299778
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",2.42341866610777,0.49962675600825,0.750967801351812,0.665310490155337,0.505851922398483,0.623235509519156
"Q0050",11.0583892919595,0.0181830617187296,0.77172984524803,0.023561433875718,0.981202434913311,0.987219380745115
"Q0055",7.66040552745122,-0.174039647988191,0.931501959463196,-0.186837661714084,0.851787917053971,0.896429492806956
"Q0060",0.345060983262832,-1.29574844265478,2.62011208742684,-0.49453931718139,0.620925346374013,0.721568563612319
"Q0065",0.242042202038659,0.222441149911229,2.24076641982986,0.0992701193407382,0.920923802515787,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0.186253925344407,-1.22024350634215,2.92858838100988,-0.416666102431702,0.676922651784544,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",1.19525537201599,1.15592539405568,1.45720117878597,0.793250383600916,0.427631958150105,0.548984767648046
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.740229535147591,0.702987368057443,1.38226724730283,0.508575580756295,0.611049749003944,0.71375788531855
"Q0110",0.0935914422812982,-0.739351547935864,3.11653965008542,-0.237234763855996,0.812474668318163,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.306328858457597,0.668455171736145,1.83969020277944,0.363352031079054,0.716341930174432,NA
"Q0130",5.06175191242599,0.588352911309926,0.588947809571751,0.998989896469336,0.317799585714123,0.44179330710868
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.61271878474173,-1.09744073891903,1.19525800974023,-0.918162212656953,0.358533948345776,0.482564599944385
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.77031096682794,0.311713290034379,1.30277699491783,0.239268340821478,0.81089751286534,0.868339313760767
"Q0255",0.0839402241332916,-0.739351547935864,3.11653965008542,-0.237234763855996,0.812474668318163,NA
"Q0275",2.40192296863775,-0.595461530218786,0.953128641002593,-0.624744136942965,0.532139000060607,0.644642365101333
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",90.0781747340109,-0.451500923006468,0.575736348321739,-0.784214726623715,0.432914125392903,0.553968674437523
"RDN5-2",4.45890287570859,0.210288502632312,0.589207380438577,0.356900659451658,0.721166175963476,0.798959958120273
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",42.8650598080363,-0.289962353758441,0.712766870802443,-0.406812333227549,0.684145827731852,0.770121985132558
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",12.218937862135,0.511102722360719,0.318399948293398,1.60522237864734,0.108444874254551,0.191421849674721
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",72.9325765755165,-1.76654434164043,0.383228056017451,-4.60964251938796,4.03361942775634e-06,2.48879963895448e-05
"RUF20",114.09839885645,-0.127520415474739,0.304861162321147,-0.418290130838007,0.675735004473269,0.764031489275325
"RUF21",33.7805810237716,-0.296383010583926,0.737344281681243,-0.401960139852354,0.687713361577923,0.77284460129213
"RUF22",0.074927418801736,-0.739351547935864,3.11653965008542,-0.237234763855996,0.812474668318163,NA
"RUF23",8.84831219948503,0.38333633056113,0.38678425908405,0.991085654490993,0.321643757228778,0.445480246011528
"RUF5-1",324.215999454785,-0.364167645992804,0.261111953455166,-1.39468010243864,0.163112327702103,0.263763612608665
"RUF5-2",207.103860306657,-0.564098634592794,0.257355868209894,-2.19190119314756,0.0283866419156979,0.0645080432297285
"SCR1",527.446247470162,-0.54455251009527,0.745861658590128,-0.730098542837844,0.465329951983759,0.585864605464111
"SRG1",189.442181576446,-1.24864214120699,0.241154059806892,-5.17777781641684,2.24544420486109e-07,1.78758617350303e-06
"TLC1",1485.20313291696,0.160739816217268,0.120805433706962,1.33056776740005,0.183331274243335,0.28977196471685
"YAL001C",512.089221052715,0.228442555609097,0.102333000768214,2.23234493168557,0.0255921743857789,0.0589584099634024
"YAL002W",457.78731901996,-0.174843797661355,0.0954456340868387,-1.8318679459165,0.0669710971919183,0.129868714560402
"YAL003W",8886.6524143291,-0.707985993422905,0.127283411652225,-5.56228014501469,2.66272383659607e-08,2.51928878323232e-07
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11717.0705378978,-0.5806089920203,0.175492454556571,-3.30845558851727,0.000938120625404957,0.00328513141441913
"YAL007C",1090.95847884716,0.245247809633692,0.0855913669776299,2.86533348273068,0.0041657029475087,0.0123285014201016
"YAL008W",444.404901061423,0.342703463108711,0.115954762956355,2.95549276606864,0.00312170017606015,0.0095626944828582
"YAL009W",346.566956629115,0.172885009744619,0.100050062524589,1.7279850245184,0.0839909092787334,0.155820972619426
"YAL010C",340.439394783622,0.0151369242963865,0.113140109429581,0.133789196180757,0.893569270585774,0.926057692686874
"YAL011W",423.192406366636,0.264044004073541,0.0835761112899861,3.15932387853487,0.00158135646732939,0.00524028815552947
"YAL012W",6350.5560264006,0.385890525692935,0.185904385389362,2.07574729818621,0.0379173289408673,0.0819369970399018
"YAL013W",1365.30728941702,0.40062928035553,0.142661491888197,2.80825102172281,0.00498113829956463,0.0144245016535391
"YAL014C",1254.5828042539,0.350768965452903,0.148960397345261,2.35478000666103,0.0185336744701505,0.0449191177016603
"YAL015C",513.624733747146,0.470684689613415,0.0916248253557248,5.13708689523856,2.7902995552012e-07,2.16248215528093e-06
"YAL016C-A",22.2149332125787,-0.176865646166725,0.379683292714037,-0.465824147547976,0.641341379024185,0.737361725635907
"YAL016C-B",49.5358225188145,0.583888181988835,0.222372075523229,2.62572618713469,0.00864643405644011,0.0234062623330675
"YAL016W",1692.14037589318,-0.0516329135012806,0.0475990741174729,-1.0847461732943,0.27803409143007,0.397436322365083
"YAL017W",1102.14440688634,-0.0757921370678206,0.114971939561681,-0.65922291436302,0.509752634500945,0.627007857430582
"YAL018C",2.33928393843957,0.0380523143579151,0.802130574114956,0.0474390524259728,0.962163304707032,0.974954656222119
"YAL019W",645.131845169002,-0.710907948020826,0.15393786356156,-4.61814872295233,3.8717872763247e-06,2.39609135306681e-05
"YAL019W-A",1.1890385524949,0.145032978809841,1.08929401720337,0.133144014856701,0.894079486176231,0.926158408301125
"YAL020C",525.5198274515,0.324506994506595,0.181560052892942,1.78732595268598,0.0738848217771516,0.140521118488804
"YAL021C",1194.6128623717,-0.249704153333339,0.124812032436764,-2.00064167258754,0.0454310192966041,0.0949113250957316
"YAL022C",1229.12426130777,0.299816298865978,0.178025450651627,1.6841204320425,0.0921583964127389,0.167962485144539
"YAL023C",3903.33719877327,-0.0511471442902415,0.121932551479771,-0.419470794874059,0.674872094402766,0.763644168048344
"YAL024C",248.215582176743,0.0965548267530983,0.105683274896521,0.91362447698218,0.360914200280834,0.484895111901172
"YAL025C",752.152673984636,-1.28286600236033,0.243909211785781,-5.25960455928594,1.44365521905865e-07,1.17857629352033e-06
"YAL026C",844.836940884155,-0.112821601604786,0.0859817278659636,-1.31215787824901,0.189466870735952,0.297096419450059
"YAL026C-A",20.0831823450703,0.15286641743957,0.415664631167137,0.367763831650384,0.713049339996714,0.792447201413828
"YAL027W",242.596475858303,-0.0301594148807403,0.101933549503049,-0.295873292235724,0.767326848080414,0.833894621492237
