"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",17.7694390174351,0.169797206750748,0.894676724523335,0.189786100494805,0.849476748141911,0.89116062097291
"21S_rRNA",119.427063381725,0.205275143946393,0.833791422233089,0.24619483778883,0.805531411451397,0.858624736870136
"HRA1",1.40524986109873,0.28673804172275,1.21386351692255,0.236219342393371,0.813262471112358,0.864485398071954
"ICR1",129.234071620929,0.26698340468983,0.128511898681134,2.07749949560915,0.0377554817450692,0.0734186616155913
"LSR1",171.990786431766,0.956195640427506,0.464420156939977,2.05890210865909,0.0395036170547493,0.0762019951723674
"NME1",25.1218641102789,0.47270365577942,0.362042486043435,1.30565796557564,0.191668898552976,0.285551084263397
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",2.07376632806561,1.25059035739979,1.17090207493386,1.06805717076761,0.285494723807197,0.391077267866591
"Q0050",7.94692373998295,0.552754336813233,0.826057055575969,0.669147891277105,0.503401142605565,0.608072365687251
"Q0055",5.33870560986304,0.972751044086779,0.911171896928821,1.06758235999762,0.285708944223718,0.391207878277618
"Q0060",0.130519463897847,0.292982072490493,3.11619977663865,0.094019027498463,0.925094041928669,NA
"Q0065",0.166157042859091,-0.672609525340917,3.11653965008542,-0.215819338387843,0.829128573677979,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0.0896308740034003,-1.1535032013684,3.11653965008542,-0.370123063037811,0.711290798630849,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.930203737633729,0.08752841953125,1.41519870543614,0.0618488550017964,0.950683197263589,0.966691920962296
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.691794207657322,1.82433121943615,2.11936131805483,0.860792920911917,0.389352104599191,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.244556646985457,1.11616168771264,2.91848250397203,0.382445906800386,0.702130644861383,NA
"Q0130",2.98785016433448,1.40401986344997,0.935728602288971,1.50045628616616,0.13349624880601,0.21223968831912
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0.7057193830311,-1.32044281922625,1.56210878287717,-0.845295048398738,0.397946125002554,0.506239156313647
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.39767574213445,1.74027733147343,1.14968553565797,1.51369855277641,0.130102312188481,0.207797480908658
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",1.65330537026177,1.1307563786393,1.1315296397926,0.999316623156739,0.317641335243947,0.425460982616129
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",96.208439382613,0.235767784147571,0.545472778735239,0.432226489274561,0.665576808719217,0.746943999145761
"RDN5-2",5.46899571995752,-1.24368653682343,0.485522809237035,-2.56154090634341,0.0104208968475615,0.0242582303896713
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",47.2841811186035,0.819195457131016,0.658147298205343,1.2446992631662,0.213242316931251,0.310797371576947
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",15.7854586970256,0.640237826449068,0.283173592259576,2.26093761547575,0.023763120417092,0.0490463651882406
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",46.7874892795895,-0.620345361953803,0.325369801694045,-1.9065855488861,0.0565742778997723,0.103465378476327
"RUF20",101.737761519379,0.788659279778909,0.297866597771924,2.6476929124587,0.0081043105796626,0.019496554179583
"RUF21",27.5989887789931,1.67269626861729,0.975923811560285,1.71396193924505,0.0865357161917104,0.148289009105399
"RUF22",0.0464057363778015,-0.191718184775508,3.11653965008542,-0.0615163631145372,0.950947983204976,NA
"RUF23",8.4895791037437,0.147615458091377,0.357864359217614,0.412489968026162,0.679980332239397,0.759449247257758
"RUF5-1",260.669918320274,0.27105548203893,0.262583859605685,1.0322625406069,0.301949144243357,0.408452359186193
"RUF5-2",170.497831424124,0.290938291364124,0.29258879102827,0.99435897848873,0.320048131726607,0.42755364380445
"SCR1",465.807753072928,0.964334303478127,0.79011501745415,1.22049863902769,0.222275905156107,0.321119404683384
"SRG1",155.482286421473,-0.804868039313406,0.229915148706546,-3.5007177380065,0.000464007015248118,0.0015194498379916
"TLC1",1336.40683066106,0.371948142684877,0.124993539337438,2.97573894344051,0.00292283554299858,0.00794634594961448
"YAL001C",499.290743354875,0.490530115233189,0.103467265519242,4.74092083879382,2.12749051497843e-06,1.12665501892786e-05
"YAL002W",441.753781488077,-0.0190955553493218,0.111795441648622,-0.170807995994505,0.86437474158121,0.902063508655069
"YAL003W",8525.11047294265,-1.06480065800244,0.124966602149431,-8.52068184369121,1.5861671127504e-17,3.17329846082771e-16
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",12084.8156371686,-1.12838009798328,0.1411505700838,-7.99415898436239,1.30461325357763e-15,2.30213523727828e-14
"YAL007C",1036.22580927927,0.16895743274468,0.0617727780610943,2.73514382949685,0.00623530244369507,0.0154820521305205
"YAL008W",447.36257826605,0.183837028677017,0.12110198298381,1.51803483433954,0.129005617370093,0.206296154890659
"YAL009W",326.743825861728,0.373902254817908,0.0837754428031564,4.46314865439089,8.0763979851781e-06,3.84651603027802e-05
"YAL010C",312.385752810299,0.207069829652101,0.0944032818583057,2.1934600744379,0.0282742481384435,0.0570512266239224
"YAL011W",406.816315317638,0.360294093558669,0.0759801547777344,4.7419499817109,2.11670890810487e-06,1.12356274460857e-05
"YAL012W",6091.89958709043,0.0284543790539935,0.165783542598364,0.171635728179175,0.86372391721814,0.902035320927447
"YAL013W",1386.12807111161,0.192074396633581,0.129321711433316,1.48524477834971,0.137478994168841,0.21741632379128
"YAL014C",1296.62874212917,0.035103323306076,0.155922619458106,0.225132975754731,0.821875828442164,0.870828509788526
"YAL015C",514.966390661564,0.453512881708571,0.0916847809992552,4.94643578537048,7.55846457320813e-07,4.31481472860849e-06
"YAL016C-A",27.3776805745877,-0.95958764486461,0.280840745342552,-3.41683911888983,0.000633527059576005,0.00202028832661302
"YAL016C-B",46.8542667090234,1.28646552103457,0.250726401668078,5.13095355126443,2.88278047299474e-07,1.77663493195238e-06
"YAL016W",1630.61108490937,-0.0518468824518282,0.0519026772057672,-0.998925012023603,0.31783101872302,0.425541856231675
"YAL017W",1140.24141651894,-0.0129320474683321,0.117623266640262,-0.109944637976119,0.912453281116278,0.938254569021613
"YAL018C",2.55595851286739,0.155307418273269,0.715803290291454,0.216969410981657,0.82823218359693,0.875730800391163
"YAL019W",551.66691214646,-0.590200930560431,0.144623388733374,-4.0809507765616,4.48518537747335e-05,0.000185786596315479
"YAL019W-A",0.894177231233813,0.775081728843606,1.19554478906215,0.64830839959716,0.516785502380872,0.619690686221698
"YAL020C",515.227759450418,-0.0302928685368427,0.177318296114907,-0.170838933153362,0.864350414836931,0.902063508655069
"YAL021C",1227.38978902126,-0.427327909261821,0.110522572710561,-3.86643107178583,0.000110439658765274,0.000415854596105855
"YAL022C",1232.85863144671,-0.171668211330468,0.145172761001599,-1.18250979141037,0.237003482726371,0.337287983417292
"YAL023C",3708.79451890703,-0.166629887941465,0.100121543530026,-1.6642760595425,0.0960572743844421,0.161370336906176
"YAL024C",236.159821324309,0.380782282880717,0.114222293779711,3.33369494063124,0.000857005939694203,0.00264826905871702
"YAL025C",632.18634792735,-1.01410659271056,0.223543057618896,-4.53651570982555,5.71912311325267e-06,2.80292392639085e-05
"YAL026C",831.393016404576,0.0225245251947894,0.0911535949526446,0.247105176778724,0.804826827457977,0.858151656946121
"YAL026C-A",18.278664273164,1.65113048941131,0.439206928074727,3.75934527410367,0.000170358596193936,0.000612471358327073
"YAL027W",240.329886948528,0.00633396757489308,0.0922502688782879,0.0686606949975389,0.945259705182888,0.962813274452766
"YAL028W",480.766523322634,0.155273401245455,0.119496041523683,1.29940204935309,0.193805988754167,0.287952825729103
"YAL029C",1127.62770631155,0.0197702373901791,0.0836265742263627,0.23641094440464,0.813113804457322,0.864466978022629
"YAL030W",826.650902727452,0.124570539758762,0.152636413893627,0.816125959599496,0.414428097949702,0.522360348660463
"YAL031C",507.450042328555,0.324632180797624,0.0849077038512106,3.82335366607604,0.000131648736174664,0.000486258126544131
"YAL031W-A",9.35951371313113,1.8253480667773,0.4541850014643,4.01895276350462,5.84573879614718e-05,0.000235475231066345
"YAL032C",651.8476836281,0.217617096504936,0.108880119931703,1.99868531226307,0.045642413178618,0.0859320261846864
"YAL033W",259.537674002852,-0.222621333302168,0.0904335559734706,-2.46171159483628,0.013827580702387,0.0306854808439349
"YAL034C",606.865980813169,0.0955273863217755,0.117727658893648,0.811426874699617,0.417120570932194,0.525050219521075
"YAL034C-B",26.2134073783232,0.594919767434292,0.254417648107397,2.33835888296223,0.019368638807033,0.0412170645418335
"YAL034W-A",128.562348245088,0.38477851839491,0.113740536527063,3.38294973932499,0.000717117549753299,0.0022616519944783
"YAL035W",4194.58499104913,-0.520517163204083,0.0791248177714202,-6.57843111509942,4.75438041544437e-11,5.03108229814386e-10
"YAL036C",496.124475968135,-0.822325124715375,0.150338914406138,-5.46980885131227,4.5052120008198e-08,3.15125455785291e-07
"YAL037C-A",17.2648575606702,0.435776169551846,0.621229498172917,0.701473724015837,0.483007427095371,0.588841430846774
"YAL037C-B",128.356385653628,0.285733793765807,0.79497823175027,0.359423418596908,0.71927835809602,0.791025923640435
"YAL037W",59.6113465116764,0.755857479103856,0.157241654556906,4.80697993946832,1.53227359171706e-06,8.28711978692004e-06
"YAL038W",23499.2533833912,-1.62244564208075,0.172794060206003,-9.3894757733367,6.02996215642168e-21,1.5033792012715e-19
"YAL039C",2286.82172493736,-0.120250782505959,0.175031040587235,-0.687025467611425,0.492066679804473,0.597622469634408
"YAL040C",695.090733786618,0.0634670698449435,0.121085827853894,0.524149448121419,0.600174598096478,0.691466690822863
"YAL041W",664.199610146837,-0.0161131357870281,0.0680602127346714,-0.236748243057132,0.812852106124782,0.864466978022629
"YAL042C-A",0.330333869236459,-0.674717046439166,1.89533094175079,-0.355989042112035,0.72184877148093,NA
"YAL042W",3929.64585147029,-0.0466233135951663,0.131524589018579,-0.354483628826094,0.72297647085694,0.793634278048763
"YAL043C",937.844448533124,-0.0541237974869946,0.119372202361422,-0.453403693794007,0.650258077119054,0.733504483907046
"YAL044C",1411.30622797261,-1.55804139244495,0.193149872841777,-8.06648935110226,7.23483894568452e-16,1.29050704445787e-14
"YAL044W-A",53.4718014111591,0.389716938935074,0.214097389450849,1.82027879898341,0.0687165583276347,0.122076217790146
"YAL045C",2.85186673813892,1.06165866681881,0.67359160057327,1.57611624894857,0.114999014970812,0.187626423759441
"YAL046C",351.38626233033,-0.286619256022138,0.15786490152024,-1.81559835822905,0.0694320056524385,0.123147793372231
"YAL047C",197.146045332909,0.143192518277106,0.0991753362363483,1.44383194160148,0.148786254685193,0.232119252983631
"YAL047W-A",0.291487115374114,0.313056784627362,1.94046765883859,0.161330586058174,0.871833034589597,NA
"YAL048C",146.004035781478,-0.555505797237504,0.135229031634328,-4.10788859850481,3.99292602518593e-05,0.0001670784430882
"YAL049C",769.947427376604,0.158828726183344,0.101974070356142,1.55754032008959,0.119342255452566,0.193475548125317
"YAL051W",469.553556056182,0.189098799392743,0.0785602153408527,2.40705551241543,0.0160817251598374,0.034945498515038
"YAL053W",4185.56013120614,0.2707157157389,0.13337340829119,2.02975779960467,0.0423811644763704,0.080622203636841
"YAL054C",411.34980120904,0.589234574785381,0.139135154114429,4.23497985491701,2.28572195930751e-05,0.000100039240555094
"YAL055W",478.01918372593,-0.0374554151330522,0.1786432007446,-0.209666054890055,0.833928320903004,0.879493063320553
"YAL056C-A",3.8478475660079,0.244043911664089,0.574171277698361,0.425036781084505,0.670809862137393,0.751919365222806
