genes,logFC,logCPM,F,PValue,FDR
YOR290C,-7.48186476982433,6.56310821732013,1714.25298710522,9.49975112027671e-17,5.80244798426501e-13
YIL121W,-2.791608021266,6.76697377341714,1518.23343214856,2.32095952447339e-16,7.08821038774173e-13
YDR033W,-3.69229416195271,8.92715836825466,1389.18102318221,4.4587243526362e-16,9.07796278196729e-13
YHR215W,-4.39666815745766,7.21535638475023,1277.85313988833,8.23395423438147e-16,1.25732481159005e-12
YML123C,-4.59466859918115,9.21788569455063,1027.48678294514,4.07253574289442e-15,4.97500966351982e-12
YAR071W,-4.20456739594778,7.55503810694209,991.913448795608,5.27065071108012e-15,5.36552242387957e-12
YER138C,-2.38429813636262,7.54174367853845,942.443951018802,7.66271401370841e-15,6.68626531367585e-12
YPR137C-B,-2.26434781052466,7.34384596043791,897.994335282154,1.09080398132067e-14,8.32828839738331e-12
YML039W,-2.4363743453455,7.58809451921569,835.246375775105,1.85130279748436e-14,1.25641749855938e-11
YAR009C,-2.36549014347153,7.1946423409877,819.209519346216,2.13263495268371e-14,1.30261342909921e-11
YPL019C,-2.43684619763823,7.98620090914806,798.190594576822,2.57785282761129e-14,1.43124691386602e-11
YML045W,-2.23480699167454,7.59280387633153,788.735263208054,2.81187998794897e-14,1.43124691386602e-11
YPR158C-D,-2.42009089997145,7.76562975313406,770.695216443494,3.32850189646031e-14,1.4682189880945e-11
YLR157C-B,-2.35850586823773,7.84298838673224,769.534399608469,3.36526945535741e-14,1.4682189880945e-11
YDR261C-D,-2.57173677043438,7.53272747895272,759.061776320523,3.71865074596087e-14,1.51423458375526e-11
YPR158W-B,-2.24807640406555,7.42240591151591,744.75252515877,4.27166669387991e-14,1.59638739996271e-11
YGR234W,-4.10488478328988,8.42112240700579,740.739404103397,4.44312144717846e-14,1.59638739996271e-11
YBL005W-B,-2.122074260805,7.38004061211385,711.971258715733,5.92832814865918e-14,1.96870320566609e-11
YDR365W-B,-2.32567560113874,7.46252992656596,708.801424073088,6.12399490957035e-14,1.96870320566609e-11
YGR038C-B,-2.17580379046668,7.56495992843586,694.251610911406,7.12148666265345e-14,2.17490202677436e-11
YPL257W-B,-2.4091373876469,7.34565004662655,675.139319206013,8.72435719190678e-14,2.53203013550801e-11
YDR098C-B,-2.04567538002505,7.34153117612587,671.033388770574,9.11995137216377e-14,2.53203013550801e-11
YMR045C,-2.18814541984476,7.45791989886114,665.180008549137,9.71960597253874e-14,2.58118927305507e-11
YOR142W-B,-2.07809694320642,7.20913412023312,659.908798415007,1.02981427841177e-13,2.62087733855796e-11
YPL025C,3.47677619890885,3.91458005072083,648.17145158356,1.1732340573507e-13,2.79544506343617e-11
YER081W,3.14309484433375,9.08947375656299,646.352942102565,1.19742303020792e-13,2.79544506343617e-11
YGR027W-B,-2.31055286646258,7.71107223671235,643.558293044323,1.2357075427763e-13,2.79544506343617e-11
YJR027W,-2.30530003750519,7.83705583277993,632.719451520797,1.3979180710366e-13,2.94733258427355e-11
YJR029W,-2.22397192261175,7.64959469410243,632.629880195037,1.39935568015608e-13,2.94733258427355e-11
YDR210C-D,-2.00727890923782,7.37344577179084,611.048519307931,1.80022405219374e-13,3.66393346459858e-11
YER001W,-2.37137889771705,6.390510666985,607.039609246826,1.88826811867677e-13,3.66393346459858e-11
YOL103W-B,-2.43687545903382,7.74777183401698,605.666246172076,1.91954601943606e-13,3.66393346459858e-11
YHR214C-B,-2.07711909367433,7.52788956261117,599.964589140036,2.0558421343455e-13,3.80517689593403e-11
YLR227W-B,-2.22729505605721,7.42444036420303,580.583842968419,2.60834168994724e-13,4.68580913005815e-11
YDR316W-B,-2.18539357915729,7.38683109872431,558.24426263053,3.46566726045109e-13,6.04808446481008e-11
YER160C,-2.18129325607093,7.29040615989886,553.080506816894,3.70681703062853e-13,6.28923289529973e-11
YFR055W,-2.08830883396986,6.91804593650354,547.914228207434,3.96731957610851e-13,6.5492940461813e-11
YGR161C-D,-1.9702940122235,7.49323889024702,537.531088537742,4.55624803734165e-13,7.32356921370601e-11
YBR012W-B,-1.96571175797521,7.09351699537549,526.970613152344,5.25916127617195e-13,8.23665566022008e-11
YDR406W,-1.97435969430403,7.44466641864149,521.440021641467,5.67590786409802e-13,8.59166074630909e-11
YMR050C,-2.24643986004986,7.77337600825962,520.290500878681,5.76715930908109e-13,8.59166074630909e-11
YNL284C-B,-2.06260248688571,7.90383151913602,500.22385735769,7.66193750692219e-13,1.11426462600668e-10
YNL054W-B,-1.85912271779899,7.18157851236019,498.280756958303,7.88025338399827e-13,1.11936250394096e-10
YMR056C,2.11606841256981,5.82340547539246,488.424780967133,9.1023145912675e-13,1.26356676189686e-10
YPL095C,-1.97484451491928,6.3517823356285,476.117368115957,1.09416896510547e-12,1.48515200863649e-10
YOR153W,-2.69162222972282,9.75692365478945,472.49952725215,1.15601419743153e-12,1.52435215818375e-10
YER124C,-1.72014637362526,6.45604317220078,471.546324580703,1.17296253167381e-12,1.52435215818375e-10
YOR273C,-2.28257574109373,8.01211738349429,463.301478159933,1.33193154868195e-12,1.69488289569779e-10
YOR306C,-1.35742075064438,6.82012797472081,461.603610266059,1.36762548058509e-12,1.70478702763545e-10
YDR399W,-1.82803655559902,7.70620949247734,457.569470347551,1.45687253506204e-12,1.77971548883179e-10
YOL158C,-1.90190124335509,7.85951776663971,455.542682625467,1.50419334310211e-12,1.80149273326817e-10
YKL109W,-2.08870739209699,7.62087578000992,441.81464387579,1.87473281800683e-12,2.20209001007417e-10
YGL028C,-1.58499994910774,6.59834468603489,425.951129736656,2.43841073795955e-12,2.81015335612394e-10
YBR067C,-2.74599185740054,8.83578444778608,419.127012814516,2.73836489609841e-12,3.09739496025353e-10
YML122C,3.28457650187471,3.00240557031978,416.578759551473,2.86094622455501e-12,3.17721082537854e-10
YGR087C,3.00038200590101,3.619190616131,411.301912436157,3.13511095772449e-12,3.4195103088895e-10
YDL039C,-2.84645711430478,7.41700349937408,408.51515979257,3.29185852491082e-12,3.45005071717697e-10
YFR015C,-3.19942115571265,9.44107527634996,408.396276319737,3.29874058157899e-12,3.45005071717697e-10
YHR136C,-4.89198231592004,5.89951695391987,407.816063780149,3.33256372484351e-12,3.45005071717697e-10
YPR149W,-2.20554472550545,8.51866199423421,406.382326269752,3.41784350117519e-12,3.47936468419634e-10
YJL012C,-1.39717462474567,8.21065995225514,398.738210822749,3.91650666882742e-12,3.92164307101605e-10
YGR035C,-3.44458942168044,5.4596253541262,392.44700247271,4.38940086997154e-12,4.32426782480422e-10
YER011W,-4.12542536387017,7.40965736469018,388.376776473118,4.72981824363125e-12,4.58567140192058e-10
YHL047C,-1.8000642472727,7.61361013718677,373.197136008143,6.29200139497423e-12,6.00492883132853e-10
YLR035C-A,-1.98188387766458,6.78930079761977,368.699419505531,6.86195850374346e-12,6.44812962167154e-10
YDR077W,-3.56564418928643,11.6460453471626,366.941745603945,7.10044380118072e-12,6.57113799054725e-10
YDR281C,-3.73074671825026,3.37493389891508,363.51162344083,7.59344987112653e-12,6.92250624072252e-10
YIL169C,-2.82110935250677,7.6354313253331,358.486574079271,8.3874607639404e-12,7.4516957243292e-10
YBR244W,-2.74470021970875,5.33504750683841,358.304640055967,8.41792738995931e-12,7.4516957243292e-10
YCL064C,-1.3067480123216,8.53803943962262,355.913182676226,8.83030192430903e-12,7.70506916481136e-10
YPR064W,2.65160840753046,3.35680019500871,354.439319437023,9.09585254994077e-12,7.82499540493496e-10
YNL327W,-1.28614017940927,8.37911369468441,339.814081532539,1.22856087045694e-11,1.04222913843763e-09
YGR051C,2.52347536540466,4.78352090643645,335.376978990219,1.34919216970416e-11,1.12888572226753e-09
YOL155C,-2.25021327831411,7.95690100611974,334.081187949243,1.38691710012774e-11,1.13928264294764e-09
YCR025C,2.80670314798109,3.40984681099892,333.677186350438,1.39892269517146e-11,1.13928264294764e-09
YHR216W,-1.3584303942578,8.0841244461834,324.713601392832,1.6981770885976e-11,1.36479811278344e-09
YDR011W,-1.30268181296456,7.7744767839195,321.950431548886,1.80461917776034e-11,1.43150830360522e-09
YIL011W,-1.63064663945619,5.41744318528863,317.292917664055,2.0016334270615e-11,1.56743294519124e-09
YJR150C,-2.7268222404499,2.72777342704803,311.328889049116,2.29054906408685e-11,1.77097135233449e-09
YPL057C,-1.22474992166148,7.31892261934815,305.533864282673,2.61741861875657e-11,1.99839911542064e-09
YBR093C,-2.21153954918288,7.11939777334656,299.296891126072,3.02978113085929e-11,2.28467940089982e-09
YBL005W,-1.14652227294091,6.03172527330279,297.075523380978,3.19408950416903e-11,2.37920715749567e-09
YKL062W,-2.1996098466092,7.10939868524736,289.907223010945,3.79746696283231e-11,2.7945696637325e-09
YGR233C,-1.42113804388265,6.39353929522086,287.963251560683,3.98271153639883e-11,2.89600024575286e-09
YLL052C,-2.55945888188017,3.21146327878916,285.204624280371,4.26345676893819e-11,3.06366987584405e-09
YDR034C-D,-1.22271196133829,6.38332396517667,282.140963296337,4.60190333642234e-11,3.2684215789381e-09
YMR173W,-2.1079913450311,5.03708038226323,280.12195777412,4.84160142043715e-11,3.39913810069312e-09
YFL002W-A,-1.30450511150143,6.33856344406776,274.105153448139,5.64435013302122e-11,3.91769211505609e-09
YPR124W,-1.1769683632813,7.87463145587033,273.56895556933,5.72293407206839e-11,3.92760464181952e-09
YPR009W,-1.31631045708019,5.67739634368757,271.48706209215,6.04004540002373e-11,4.09092876554837e-09
YPL062W,2.31115066540693,2.48841024717108,271.139735252333,6.09486767624266e-11,4.09092876554837e-09
YBR092C,-2.60128411196826,7.15738913692196,270.065186261412,6.26808424498378e-11,4.16146288786532e-09
YBL044W,3.24276033681544,3.0814315767434,263.023070859428,7.55185462058936e-11,4.94358839795931e-09
YMR272C,-1.38961451460303,7.34246011930312,262.746700315883,7.60801095953136e-11,4.94358839795931e-09
YBL100W-B,-1.26481866999187,5.71012403396971,261.892687911116,7.78455701051687e-11,5.00506044423548e-09
YOR343W-B,-1.21093068695151,6.18353271361247,256.736166613324,8.95473165383872e-11,5.69744801475488e-09
YBR070C,1.50062845003552,5.6668294727611,254.041467215083,9.64490441474453e-11,6.07330682116078e-09
YDR261W-B,-1.15525357847786,6.06376312221123,252.054550116151,1.01925352779592e-10,6.35265362018108e-09
YGR161W-B,-1.26799756453472,6.37395128919675,248.696189157073,1.12003540823546e-10,6.91027906414365e-09
YER037W,-1.8832182694952,5.6677425317953,248.022575289309,1.14158531093169e-10,6.97280307917075e-09
YMR244W,2.27701157003798,3.21102200899653,245.13042109965,1.2396171041674e-10,7.49661512104404e-09
YJR147W,-1.29608425355926,5.70759340425251,244.367912849253,1.26703088891344e-10,7.58727908772872e-09
YOR192C-B,-1.26358582802614,6.50331071504355,243.061717153524,1.3156055528118e-10,7.80166865686842e-09
YNL217W,-1.58622653208853,7.46519296571524,240.934585689309,1.39930196854227e-10,8.21820809986172e-09
YOR376W,3.40329700459903,2.81685284805637,238.931129017017,1.48369662348386e-10,8.6308752154661e-09
YCL019W,-1.32260660428819,6.12356555080461,235.093677269308,1.6619920573412e-10,9.57683725116987e-09
YMR122C,2.29406643016741,4.67898331496643,234.256670843565,1.70403841785574e-10,9.70252894202752e-09
YOR178C,-1.76265796253657,6.37082984479047,234.031110116496,1.71557486204809e-10,9.70252894202752e-09
YJL077C,1.8640451505619,5.00376975313574,232.765042529939,1.78199707985719e-10,9.83025770958124e-09
YLR413W,-2.11231636212112,8.11124818915057,232.729080606652,1.78392594067073e-10,9.83025770958124e-09
YDR055W,-2.26838729057985,7.75600968191729,232.556770457341,1.79320093672808e-10,9.83025770958124e-09
YGR050C,1.43464165484678,4.38100138069793,232.384366377006,1.80253579481516e-10,9.83025770958124e-09
YJL101C,-0.957382880420987,7.0768559315633,231.777508944192,1.83583566441588e-10,9.92326038783381e-09
YLR410W-B,-1.24716576039276,6.42133837551783,230.118091907889,1.930514448104e-10,1.03434932008941e-08
YIL056W,-1.31939468348119,7.09169955457314,228.864300132959,2.00573105013639e-10,1.06299297906257e-08
YKL051W,-1.07470147878505,6.85570429265348,228.450809800871,2.03126194214186e-10,1.06299297906257e-08
YIL094C,-1.10204523496045,7.91421309836892,228.371756157329,2.03618497954028e-10,1.06299297906257e-08
YER053C,-1.47534769837684,7.59146725913063,225.577495766368,2.21921251071803e-10,1.14872457758184e-08
YMR017W,1.95243280535025,2.80751199830701,224.41751805509,2.30062269076022e-10,1.18085742816499e-08
YNL160W,-2.7547775455228,7.27371490966343,222.053989274743,2.47721244168667e-10,1.26090113281852e-08
YDL048C,-1.41498863909548,7.49168691653715,216.837323589811,2.92419436951052e-10,1.47611398421242e-08
YDR210W-B,-1.20054032780588,6.26978229722815,214.432920247683,3.16054282428213e-10,1.58234389923895e-08
YKL037W,1.58403673276683,4.71003686241864,213.504973899475,3.25749907300544e-10,1.61762636893636e-08
YAL061W,-2.3945026907688,7.54940462747052,212.074375627988,3.41366198854288e-10,1.68150382467902e-08
YOL109W,-2.71936750298877,8.68153436150075,206.700198171434,4.0811564831685e-10,1.99421630393546e-08
YJR148W,-1.55151346541568,7.78367139573158,204.191652876356,4.44259887444303e-10,2.1536026924681e-08
YCR021C,-2.90861770956249,6.72884081510542,203.209536759501,4.59389760973485e-10,2.2094115433276e-08
YHR092C,-2.60748632782227,10.0436846098455,199.70457890146,5.18356261640587e-10,2.47353128601618e-08
YKL045W,0.852494037286989,5.97114748528651,193.425927318167,6.46798936723345e-10,3.06251775620635e-08
YCR018C,-1.53494999178148,4.55484240674863,191.803992252311,6.85611968149013e-10,3.22132146265706e-08
YOR348C,2.27405344445296,4.98205775071197,190.872195805268,7.09102172969146e-10,3.30625654388973e-08
YER056C,-1.37416565950497,8.24447081140424,181.985696008955,9.85557560964253e-10,4.56044362300732e-08
YLL053C,-2.09121897213104,3.89465908585145,181.422982954241,1.00682178644036e-09,4.62381012900579e-08
YBR068C,-0.851018811707379,8.92743344928539,179.436810828262,1.08614901714648e-09,4.9508941766647e-08
YIL119C,-2.10123145536796,5.19130337040726,178.91769425403,1.10803570013488e-09,5.01324596772137e-08
YLR112W,1.44877127799056,4.08750163512584,175.443282871913,1.26809374168229e-09,5.69523277514369e-08
YDR089W,-1.80466045138362,5.83352817783044,174.924358342926,1.29418237656642e-09,5.76997515041435e-08
YNL134C,-1.42452982045085,7.51618719121777,171.72611586416,1.46908289603052e-09,6.50228864416987e-08
YPR015C,1.56022272319542,4.31802768513539,171.352999093516,1.4911811739646e-09,6.55261482775237e-08
YOL130W,-1.09482976854386,7.25092640394731,169.032258885802,1.63740644051123e-09,7.14377038474472e-08
YAR073W,-1.4789864690135,4.86595584702575,166.210038450807,1.83764590618668e-09,7.96052567020444e-08
YOR092W,-1.03732285683392,5.96793004660235,165.812341334651,1.8680373858615e-09,8.03519179777607e-08
YOR049C,-1.10334791388662,5.46150059440498,164.321070387118,1.98718850861347e-09,8.48793525217556e-08
YGL162W,-1.43486028493913,5.87333670663164,163.063118760939,2.09443329650885e-09,8.88388789935839e-08
YML035C,-0.831076908060062,6.76607535225928,161.197448047881,2.26580582118013e-09,9.54451169363325e-08
YPL018W,-1.38433677583159,3.76955247816555,160.430839952224,2.34079396973981e-09,9.78894094104783e-08
YDR044W,-1.65229875742125,7.87571517328124,160.120951524656,2.3719029462588e-09,9.78894094104783e-08
YNL040W,-1.00100361255383,4.89740330329288,160.053838417027,2.37870192216406e-09,9.78894094104783e-08
YKL182W,-1.07568434458344,9.61235459472143,159.963021736573,2.38793745942391e-09,9.78894094104783e-08
YOR100C,1.89662321579979,3.52647575978759,158.989402345496,2.48954830318292e-09,1.01006691155516e-07
YJL170C,1.39959848357088,4.30118909522673,158.919272465222,2.4970547420568e-09,1.01006691155516e-07
YPL163C,-1.29619274254159,7.37051010087487,157.940335869716,2.60456411770523e-09,1.04662352835155e-07
YDL241W,-1.9858941268158,5.02075414907762,157.502916492523,2.65429347703972e-09,1.05963559201037e-07
YHR030C,-1.06055324317104,8.3108685201965,156.255571131361,2.8021239834855e-09,1.11138787604737e-07
YLR258W,-2.40347005395535,8.84621814827845,156.026766200761,2.83024356702344e-09,1.1152985617664e-07
