genes,logFC,logCPM,F,PValue,FDR
YGR234W,-4.31977948962543,8.62475040553135,2982.69293212877,4.18068851287087e-20,2.55356454366153e-16
YOR290C,-8.09884841686024,6.65562259244634,1909.84022656102,1.62443719199778e-18,4.96103118436121e-15
YML123C,-4.64061676443333,9.12355399992268,1791.72979834722,2.74088343772143e-18,5.58043867920082e-15
YHR215W,-4.56783057400405,7.32743169563371,1719.48614407788,3.83964566527372e-18,5.86313893087296e-15
YDR033W,-3.73035008556982,8.94597261916351,1669.42279337034,4.89062832799458e-18,5.97439156547818e-15
YAR071W,-4.27664526788308,7.68991382561772,1332.0610241146,3.09840125006924e-17,3.15417247257048e-14
YOR153W,-2.8252647030098,9.87874897098202,1278.02650499414,4.34505705364441e-17,3.79137264052287e-14
YIL121W,-2.80107206587441,6.73111153512394,1209.98933285122,6.79032744822299e-17,5.18441500671825e-14
YDR261C-D,-2.72644321071556,7.63455714444562,1179.96362483605,8.33504360224005e-17,5.65671625805358e-14
YDR365W-B,-2.45510280826612,7.53336040409829,1147.16666744092,1.04889591628908e-16,5.73316881662834e-14
YER081W,3.27128705241114,9.12968921010845,1132.91496137943,1.16142508077585e-16,5.73316881662834e-14
YJR027W,-2.50474304195022,7.92352728457748,1124.14303589187,1.23738934372276e-16,5.73316881662834e-14
YML045W,-2.42472125079021,7.70485314827122,1113.73607845256,1.33483067842484e-16,5.73316881662834e-14
YAR009C,-2.57650580820631,7.31351322532224,1110.2030858471,1.36984342560202e-16,5.73316881662834e-14
YPR158C-D,-2.5251555503702,7.88766659426729,1102.63253989615,1.44839038480733e-16,5.73316881662834e-14
YOL103W-B,-2.61639718462172,7.88213318132671,1097.74195497232,1.50181239466361e-16,5.73316881662834e-14
YDR098C-B,-2.20769821977085,7.43238806496948,1081.42321938996,1.69671027046568e-16,6.09618019529668e-14
YML039W,-2.572208460233,7.67940259090084,1050.04804802688,2.15647734599118e-16,7.19630923260223e-14
YER011W,-4.39648677424934,7.76876692966661,1045.2427519551,2.23853758054097e-16,7.19630923260223e-14
YMR045C,-2.3415023394223,7.60835870668255,1015.13951419528,2.83972133395774e-16,8.67250895390693e-14
YLR157C-B,-2.56010935380747,7.98733785972056,1008.02968218445,3.00688163286898e-16,8.74573000645892e-14
