"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",16.5224481070051,-0.794257925199214,0.447876147355858,-1.77338741946474,0.0761645321943939,0.106546681834997
"21S_rRNA",108.944556519474,-0.819576736207231,0.389367701213395,-2.10489142692927,0.0353007601326874,0.0525571700309857
"HRA1",2.34020018430045,-1.07873905432204,0.366634315381489,-2.94227520192592,0.00325810241131489,0.00569836477177327
"ICR1",142.110971731619,0.271117638398392,0.0479021265204294,5.65982469030399,1.5152770537494e-08,4.54450950660035e-08
"LSR1",201.432658797666,-0.475119105519543,0.219409302212047,-2.16544649989528,0.0303535083034999,0.0456564034565111
"NME1",25.8136285722046,-0.124265591644167,0.155877686887654,-0.797199356273031,0.425335259841296,0.499151976438326
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.77134863050177,0.240831181435933,0.513189397097745,0.469283236945098,0.638867195618132,0.701723319639977
"Q0050",9.63143651022085,-0.345049249428609,0.433961644468887,-0.795114623208014,0.426546829097832,0.500488405341374
"Q0055",6.0355953401476,-0.203429050042506,0.407014549205783,-0.499807808933272,0.617210411574957,0.681309149342051
"Q0060",0.237980709888494,-0.212879704695214,0.954542609053575,-0.223017498303489,0.823521887772249,0.862134270392717
"Q0065",0.182874720285502,-0.357149349502479,1.14256410822871,-0.312585829478013,0.754595345443171,0.805174893811123
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0.094706812331665,-0.645688737269602,2.12677780106235,-0.303599528332049,0.761433010965625,0.810898647161117
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.487077041904887,0.23724367500579,0.758297412212901,0.312863622089192,0.754384276442011,0.805174893811123
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.68761630525724,-0.12269211494739,0.677566354477488,-0.181077637838149,0.856306636851525,0.886870593618665
"Q0110",0.124621035796518,-0.357150030931853,1.51369644124008,-0.235945610494572,0.813474875157137,0.853304868281823
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.218021955111849,0.738811983757209,1.07036214772974,0.69024487209702,0.490040209280274,0.56232379763398
"Q0130",3.69764021364056,0.289032619610353,0.456590850820503,0.633023239714409,0.526718466921482,0.597040200596512
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.00165440756342,-0.371534869584831,0.594091192331862,-0.62538356801171,0.531719344176014,0.601815985829238
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.73996451412759,-0.251867841165518,0.505560033491958,-0.49819571263543,0.61834610404177,0.682234262392949
"Q0255",0.0595083436010644,-0.068617391350458,2.74209396300395,-0.0250237199294542,0.980036043763018,0.982137793914329
"Q0275",1.65281533757786,-0.507388786254244,0.544203088976372,-0.932351904155168,0.351154691920399,0.422036144064415
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",92.1168337707149,-0.607162345087782,0.35865917833681,-1.69286716125137,0.0904807552735434,0.124771637059587
"RDN5-2",3.87872624327029,-0.680667985696848,0.314524096237145,-2.16412031332454,0.0304551169039333,0.0457992212876337
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",49.0140272024941,-0.590658004265994,0.45544384543147,-1.29688436937034,0.194670975381432,0.250047123215934
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",14.4464843116915,0.496880225724201,0.143502383097784,3.46252246825491,0.000535137232338754,0.00102998565541383
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",56.8814196646549,-1.46148100727407,0.220748892075923,-6.62055874224464,3.57843676270641e-11,1.30205870990116e-10
"RUF20",130.586598536853,0.276226048898936,0.118074402234871,2.33942364873865,0.0193135187970675,0.0300631663122302
