genes,logFC,logCPM,F,PValue,FDR
YDR033W,-3.80116613593702,8.98068041870602,6766.52634126905,6.55784342970285e-49,3.994382433032e-45
YIL121W,-2.79288991246114,6.6777349644203,5981.50000638178,9.11791345972774e-48,2.77686054416008e-44
YHR215W,-4.51384949500191,7.28092496842863,5059.30074228004,3.23952685602396e-46,6.57731936001398e-43
YGR234W,-4.22140163717218,8.51246850663553,4761.32744513111,1.18057309068839e-45,1.72945478462299e-42
YAR071W,-4.35560369349363,7.6501346730322,4720.27261988944,1.41968049960843e-45,1.72945478462299e-42
YOR290C,-7.48817827070685,6.53626810208803,4353.12599216669,7.95826319800205e-45,8.07896352317175e-42
YML123C,-4.63750677060559,9.17439536191046,4305.95057006549,1.00349776594392e-44,8.73186413194919e-42
YER081W,3.16052725650389,9.13312712350889,3746.1787284271,1.93878561058942e-43,1.47614289426252e-40
YGR038C-B,-2.26662722322587,7.59509353968344,3452.2463746037,1.09947554049032e-42,7.44100613014062e-40
YDR365W-B,-2.33012428806087,7.46537439765451,3413.86217340399,1.39397594167139e-42,8.49070746072041e-40
YDR261C-D,-2.59460794758059,7.56366475837997,3234.22976659452,4.3887445329349e-42,2.43016754091877e-39
YPL257W-B,-2.45918432683884,7.35583478514073,3153.27569395808,7.5128603033341e-42,3.813402675634e-39
YOR153W,-2.81220806793305,9.80493293672289,3131.97072746165,8.67422238392561e-42,4.06420681080699e-39
YOL103W-B,-2.48220936460908,7.79091115061086,3098.52395615823,1.08913709893032e-41,4.73852433541757e-39
YPR158C-D,-2.4122844696001,7.79796019137672,3051.55436337088,1.50554353022931e-41,5.24653466601579e-39
YAR009C,-2.43546953060474,7.20886318314203,3050.68963751721,1.51461402989771e-41,5.24653466601579e-39
YPR137C-B,-2.26889062240757,7.38608046172564,3050.19957859125,1.51977985181718e-41,5.24653466601579e-39
YML039W,-2.44672387374182,7.60481972715855,3047.32590243079,1.55044531256418e-41,5.24653466601579e-39
YJR027W,-2.40043334850608,7.83752217686309,2963.76450631591,2.79464078802635e-41,8.95903002098341e-39
YLR227W-B,-2.35231682540134,7.45325050608471,2924.07430218841,3.71844984187335e-41,1.13245389934253e-38
YER138C,-2.44417639022524,7.56120088848314,2911.88644798672,4.06240746185258e-41,1.17829161191162e-38
YPL019C,-2.41629393541816,7.91648323964633,2887.05972608366,4.87013693639071e-41,1.34836382179799e-38
YML045W,-2.31656842204409,7.63196223727849,2862.03117009365,5.85622524447321e-41,1.55088121582984e-38
YJR029W,-2.26537718460679,7.67693508543613,2842.06007438343,6.79219438725782e-41,1.72380233386614e-38
YLR157C-B,-2.40225545942385,7.87054365962944,2792.67241799755,9.84428665460339e-41,2.39846200052757e-38
YDR316W-B,-2.25675032424581,7.43673799897564,2767.66427633807,1.19088895243665e-40,2.78988638818908e-38
YER001W,-2.32733943853182,6.2740588567257,2628.81108627272,3.53835159175382e-40,7.98225909087871e-38
YBL005W-B,-2.14138119576622,7.40370804361851,2498.97115834735,1.03235201485426e-39,2.24573432945618e-37
YGR161C-D,-2.06652934521999,7.52188893268157,2415.53506038357,2.1153024776284e-39,4.4428646176671e-37
YPR158W-B,-2.31038039208511,7.44482507204894,2406.8046703683,2.28339203600459e-39,4.63604696376798e-37
YDR098C-B,-2.13700535088198,7.36648259321116,2370.90585112346,3.1360687592777e-39,6.16186929443886e-37
YOR273C,-2.3613746933754,7.99240600942397,2329.62922232263,4.54350917443546e-39,8.6482857442145e-37
YGR027W-B,-2.35204915839628,7.742889175489,2318.81785053068,5.01217249097821e-39,9.25125534622674e-37
YOR142W-B,-2.14488513045304,7.24887388076271,2302.32017752991,5.8272315467407e-39,1.04393139268228e-36
YMR045C,-2.2366558903918,7.49253267872175,2286.74425355555,6.72460114134556e-39,1.17027273005531e-36
YJL012C,-1.43296654107815,8.17219454062555,2260.30624951729,8.59425832094212e-39,1.45410076202385e-36
YMR050C,-2.31100184909753,7.8112063660437,2217.7767774326,1.28289478018132e-38,2.11192219083362e-36
YNL284C-B,-2.13420446678593,7.94001896213805,2198.50993625023,1.54201894088317e-38,2.44363480605847e-36
YDR406W,-1.97163687871643,7.4123580733833,2196.99233042501,1.56463236638122e-38,2.44363480605847e-36
YHR214C-B,-2.16715499099526,7.54691180468508,2112.79088326044,3.56531031867242e-38,5.42907628775843e-36
YBR012W-B,-2.03913121958887,7.12001435100202,2063.92589856022,5.83633596683724e-38,8.67051765219649e-36
YHR136C,-4.7394021496951,5.68010946647503,2016.78716325909,9.49251541234996e-38,1.35368102251718e-35
YDR210C-D,-2.0881960252476,7.39028904356737,2016.14413774914,9.55644130163172e-38,1.35368102251718e-35
YCL064C,-1.34425950223621,8.49880502183325,1978.29389479848,1.42396309836399e-37,1.97121800730343e-35
YOR306C,-1.32407920547094,6.74247428041985,1894.78718436704,3.52688692084062e-37,4.77383738552005e-35
YER160C,-2.22063213794568,7.35372282102297,1872.69642088552,4.51267085944189e-37,5.9753648271436e-35
YMR056C,2.050211278495,5.85846690646979,1840.83314798987,6.4717934661236e-37,8.38716893662954e-35
YLR035C-A,-2.09367657078285,6.80552792589383,1836.84622702568,6.77336562038462e-37,8.59511874870057e-35
YNL054W-B,-1.96541847343813,7.21448450941211,1796.80126518763,1.07605866697417e-36,1.33760680419177e-34
YKL109W,-2.13642567689244,7.64618556183873,1789.8588387734,1.16716629848081e-36,1.42184198480932e-34
YPL025C,3.55110085990545,3.9841192051889,1717.99739198562,2.7577642060423e-36,3.2936356429419e-34
YGL028C,-1.69084976795042,6.62027014231856,1689.96784154815,3.89368799409319e-36,4.560856456158e-34
YER124C,-1.74369609393279,6.46091117915265,1642.16210697955,7.10464573206462e-36,8.16498059509539e-34
YHL047C,-1.82612782411524,7.62118810361301,1621.97393412462,9.20602593424027e-36,1.03840562898995e-33
YPR149W,-2.19255531231236,8.45723831477821,1569.34174300376,1.83650144701877e-35,2.03384187523478e-33
YDR011W,-1.2779352157222,7.73513134715608,1466.96112487784,7.52570642277322e-35,8.1855496109128e-33
YBR070C,1.62765517783427,5.63471434358966,1439.08171963486,1.12347339936931e-34,1.20053973255412e-32
YER011W,-4.2935859944219,7.57055246499277,1426.37968084969,1.35186847216598e-34,1.41969497654534e-32
YFL002W-A,-1.33876861047935,6.30993423493571,1397.14517599605,2.08251383368493e-34,2.1499308069449e-32
YBR067C,-2.97095861332061,8.96222213161842,1394.12357236068,2.17871395286779e-34,2.21175778115295e-32
YPL057C,-1.16281682048492,7.25755387467275,1377.57705249419,2.79470397410713e-34,2.79058064037484e-32
YPL095C,-1.93097699499915,6.2429019237643,1369.61978310181,3.1534661861104e-34,3.09802621606427e-32
YDR034C-D,-1.3566217567122,6.38508947145915,1363.68767465745,3.45210438527782e-34,3.33758219217892e-32
YBR092C,-2.84206934854516,7.30668007989216,1340.32149090855,4.94877032123061e-34,4.7098375041587e-32
YCL019W,-1.3873201527821,6.13255758059573,1330.55418211933,5.7632152998327e-34,5.40057606019707e-32
YKL062W,-2.188036582791,7.03711152941772,1312.18649114056,7.69803757057809e-34,7.10435558218048e-32
YML122C,3.13065153003658,2.95933287628784,1304.70734632395,8.67080190675665e-34,7.88266483791862e-32
YJL077C,1.8480987136529,5.05274784505644,1289.80667174398,1.10123684380661e-33,9.86416708180302e-32
YDR281C,-3.89209832755709,3.22049042880258,1281.40903470108,1.26155112873557e-33,1.11363882972875e-31
YGR161W-B,-1.30741130012007,6.41006473616256,1251.34653678342,2.06689451695263e-33,1.79849350039407e-31
