genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.82014053039272,6.69475784324383,6385.33198940943,2.83330505613607e-48,1.73086605879353e-44
YDR033W,-3.810732263738,8.94511254334831,6010.8929229452,1.02549674074275e-47,3.13237979459872e-44
YML123C,-4.70571392936231,9.1845758207861,5539.36515668576,5.83132264707383e-47,1.1874516683658e-43
YOR290C,-7.60178487113886,6.54345425149318,4840.03824990649,1.02734489995373e-45,1.56901249845433e-42
YGR234W,-4.20224686639708,8.47592922527057,4530.09961528788,4.18961329709502e-45,5.1188695263907e-42
YHR215W,-4.57058941328055,7.26373801199911,4244.0870801666,1.67263170692627e-44,1.7030178496021e-41
YAR071W,-4.34792240726452,7.63227876647499,3786.86355048106,1.87632082493645e-43,1.63749198850525e-40
YER081W,3.19555987918365,9.09878374807817,3343.45626127547,2.62320468245881e-42,1.91948550333563e-39
YER138C,-2.45519188769101,7.54659141629766,3331.60984457005,2.82785554591925e-42,1.91948550333563e-39
YGR038C-B,-2.28351879424584,7.58316533707237,3190.31492160823,7.07400085206187e-42,4.3215071205246e-39
YPL257W-B,-2.47854173818037,7.35363932122476,3041.27728792014,1.94544260995422e-41,1.01143519748047e-38
YPR137C-B,-2.30723962339952,7.368243398232,3038.25396396272,1.98677727447466e-41,1.01143519748047e-38
YOL103W-B,-2.50272442301062,7.77801643678002,3018.81630565328,2.2754531041771e-41,1.06928792410907e-38
YJR027W,-2.41730906512978,7.8213987564667,2978.19097758062,3.02989546202661e-41,1.32211652696575e-38
YML045W,-2.33727334487317,7.61688124186477,2961.99831313992,3.39987175346338e-41,1.38465443612719e-38
YJR029W,-2.30803969212161,7.67253199088145,2948.34999768887,3.74839527241693e-41,1.43118416994969e-38
YDR261C-D,-2.58607468722556,7.54576445046612,2883.44901263265,5.99887586597685e-41,2.15571368619133e-38
YLR157C-B,-2.44314653984155,7.86657624957536,2787.87544847685,1.22240170618783e-40,4.14869556838969e-38
YPR158W-B,-2.31738832293171,7.42973165513992,2729.84946541463,1.90564418800085e-40,6.12714754973536e-38
YDR098C-B,-2.1445700689171,7.34314560882083,2658.74641323222,3.32588296314434e-40,9.17380954854245e-38
YPR158C-D,-2.44016862505237,7.78759350575424,2656.98698485089,3.37265781085989e-40,9.17380954854245e-38
YML039W,-2.47508151785532,7.59072673806077,2653.56648312602,3.46557400743482e-40,9.17380954854245e-38
YDR365W-B,-2.36831329126755,7.45158744213327,2649.04055753585,3.59265512614736e-40,9.17380954854245e-38
YAR009C,-2.43514750803243,7.20494367123471,2648.64294190318,3.60405024005596e-40,9.17380954854245e-38
YOR153W,-2.7612267835236,9.76654898341579,2635.36854945726,4.00702893852853e-40,9.79157591418832e-38
YLR227W-B,-2.36523655649786,7.44488973181975,2615.12441088241,4.71481263158456e-40,1.107799629475e-37
